year,scenario,share_25_39,share_40_59,share_60_79,share_80,average_age,price,price_index,births,fertility_rate,theta,average_age_bridge,young_homeownership_proxy,old_homeownership_proxy,young_housing_burden_proxy
2020,low_immigration,0.318865981332888,0.383868773685741,0.291250211022057,0.0060150339593141,49.5040238638905,0.5771085536107421,1.0,0.08131471589690525,0.19601787138905247,0.4197088232833008,49.92830808287469,0.39899999999999997,0.7599999999999999,1.0
2021,low_immigration,0.318615071764913,0.380497815555189,0.294699279238067,0.0061878334418306,49.593985729983,0.5309534585103393,0.9548938513476297,0.08185244592582122,0.1978356933543973,0.4230061406471709,50.006950748851175,0.40488024618933727,0.7604206818646634,0.9656849980103297
2022,low_immigration,0.318367541566906,0.377172247872283,0.298101905424053,0.0063583051367573,49.6827361570511,0.48616744112223387,0.9130714778232932,0.08237353853440746,0.19961570799046618,0.4262590582696934,50.084534437731264,0.41061230316585684,0.7608284021530045,0.9336996877306015
2023,low_immigration,0.318123319859017,0.373891163897355,0.301459019260572,0.0065264969830566,49.7702995239681,0.4809465603902936,0.9083168629763051,0.08224688448357066,0.19982425080996508,0.4294684666404132,50.1610804456619,0.41128212580322165,0.7608759007220905,0.9289698300721131
2024,low_immigration,0.317882352261119,0.370653671681837,0.304771522473296,0.0066924535837486,49.8566992647039,0.47607633098959923,0.9039039062634775,0.08211694768209976,0.20001898362216877,0.4326352256121723,50.23660911920069,0.41190725757040025,0.7609202033010319,0.9245055289893994
2025,low_immigration,0.317644554421043,0.367458921124121,0.308040303896572,0.0068562205582632,49.9419586805004,0.4715506564825773,0.8998223742072922,0.08198380373879188,0.2002001097446102,0.4357601888461952,50.31114110259017,0.4124884179743931,0.7609613665523325,0.920299242651738
2026,low_immigration,0.316580213265747,0.368078518942014,0.308137188223776,0.0072040795684626,49.9855132778071,0.47426221054047346,0.9022656021928478,0.0817573834728587,0.20009156849482315,0.4363201090231527,50.34231445916304,0.4121401868079201,0.7609367042088313,0.9227654498204779
2027,low_immigration,0.315524927261584,0.368692844174087,0.308233252601537,0.0075489759627912,50.0286972312417,0.4770111283287406,0.9047492682894186,0.08153212262116218,0.1999815916749334,0.43687526661865783,50.373222591818106,0.4117872469618905,0.7609117002504743,0.9252608382455774
2028,low_immigration,0.314478593114607,0.369301962280767,0.308328498002175,0.00789094660245,50.0715147176814,0.479795859195292,0.9072722628032359,0.0813080313454601,0.19987024370300924,0.43742571117697143,50.40386845191256,0.4114298014822213,0.7608863687103254,0.9277847116579843
2029,low_immigration,0.313441104690573,0.369905927698373,0.308422937246679,0.0082300303643753,50.1139705321444,0.4825708419084549,0.9097934241203269,0.08108583211324458,0.19975934718521746,0.43797150514636296,50.43425533896201,0.41107370021535694,0.7608611240143327,0.9303066862453155
2030,low_immigration,0.312412335336828,0.370504818118217,0.308516583548434,0.0085662629965207,50.1560694813388,0.4853358222171664,0.912312465968705,0.0808655036367175,0.19964891159096648,0.43851271158993504,50.464386823968056,0.4107189751444999,0.7608359684950349,0.9328265639431466
2031,low_immigration,0.310963804974185,0.37320016018657,0.307046179478853,0.0087898553603923,50.163430933939,0.492084008641541,0.918489739822405,0.08060197977472094,0.19937963972654632,0.437607860609193,50.4671475910208,0.409853626639709,0.7607745665403827,0.9390868713714678
2032,low_immigration,0.309525378438151,0.375876709434386,0.305586021831191,0.0090118902962728,50.170740964005,0.4988306416198611,0.924707403554804,0.08034012093467947,0.19911079289790776,0.4367093141489948,50.46988896799254,0.4089890349639432,0.760713167918122,0.9453824655395292
