t,birthrate_index,average_age,average_age_dev,house_price_index,house_price_dev,young_homeownership,young_homeownership_dev,old_homeownership,old_homeownership_dev,aggregate_homeownership,aggregate_homeownership_dev
0,1.1,46.9991620009633,0,0.982341382728089,0,0.383515026838626,0,0.724633891532287,0,0.480750138468013,0
1,1.1,46.9551634403128,-0.0439985606505005,0.981533011188732,-0.000808371539357311,0.38370583910114,0.000190812262514162,0.725310677291828,0.000676785759540999,0.481810654187897,0.00106051571988358
2,1.1,46.913127530143,-0.0860344708202447,0.981375159469583,-0.000966223258505816,0.383833510855183,0.000318484016556819,0.725623453770253,0.000989562237966091,0.482239245933852,0.00148910746583875
3,1.1,46.8729899842813,-0.126172016681963,0.981300655151329,-0.00104072757675999,0.383898928954279,0.000383902115653034,0.726165605937319,0.00153171440503252,0.482686534827114,0.00193639635910087
4,1.1,46.8347754929614,-0.16438650800184,0.981288671488564,-0.00105271123952444,0.383941657345577,0.000426630506950854,0.726697538273816,0.00206364674152926,0.483108640868999,0.00235850240098506
5,1.1,46.7985465163728,-0.200615484590458,0.981324789967122,-0.00101659276096644,0.383971005781596,0.00045597894296967,0.727182509219718,0.00254861768743098,0.483506048623529,0.00275591015551546
6,1.1,46.7642076141886,-0.234954386774689,0.981847456368578,-0.000493926359511399,0.383985200189714,0.000470173351088288,0.728046009989363,0.00341211845707656,0.483541634991518,0.00279149652350474
7,1.1,46.7316417274109,-0.267520273552371,0.982340625279431,-7.57448657462412e-07,0.383984373029995,0.000469346191368569,0.728511903223876,0.00387801169158952,0.483825966225521,0.00307582775750731
8,1.1,46.700858872412,-0.298303128551233,0.982422744165969,8.13614378799565e-05,0.38398304655005,0.00046801971142435,0.728937792455222,0.00430390092293575,0.484092383262059,0.00334224479404521
9,1.1,46.7183601763241,-0.280801824639205,0.982724607362821,0.000383224634731727,0.383961790999035,0.000446764160409396,0.729297349867388,0.00466345833510118,0.484341923117115,0.00359178464910115
10,1,46.7358204768512,-0.263341524112064,0.983786134781456,0.00144475205336692,0.383946697501508,0.000431670662881911,0.729624514118754,0.00499062258646754,0.484562176531957,0.00381203806394353
11,1,46.7535865966764,-0.245575404286818,0.985002763943307,0.00266138121521764,0.383933815269243,0.000418788430617045,0.729936208861413,0.00530231732912589,0.48474706655397,0.00399692808595609
12,1,46.772023014415,-0.227138986548255,0.986695179341868,0.00435379661377888,0.383914706285702,0.000399679447075585,0.729287957345465,0.00465406581317884,0.48462845671589,0.0038783182478761
13,1,46.7913466069777,-0.20781539398557,0.988387936135343,0.00604655340725446,0.383887412616458,0.000372385777831663,0.72935703837137,0.00472314683908381,0.484777214979418,0.00402707651140494
14,1,46.8115390096189,-0.187622991344355,0.990236359408913,0.00789497668082451,0.383779903587169,0.000264876748542531,0.729439409963361,0.00480551843107435,0.484019921793948,0.00326978332593475
15,1,46.8325438414404,-0.166618159522898,0.992177087671697,0.00983570494360797,0.383735803602066,0.000220776763439734,0.729523022429808,0.00488913089752108,0.483999126650498,0.00324898818248431
16,1,46.8544874865293,-0.144674514434016,0.994269298604442,0.0119279158763536,0.383684806103082,0.000169779264456049,0.728233978987802,0.00360008745551532,0.483612521153382,0.00286238268536815
17,1,46.8774933082401,-0.121668692723162,0.996641569185671,0.0143001864575821,0.383629936588852,0.000114909750226155,0.72803730929103,0.00340341775874387,0.482889735394628,0.00213959692661436
18,1,46.9015089429203,-0.0976530580429795,0.998889424192773,0.0165480414646842,0.383399843360129,-0.000115183478496705,0.727874641588459,0.00324075005617241,0.482278641124329,0.00152850265631577
19,1,46.9262999537403,-0.0728620472230048,1.00186287585878,0.0195214931306884,0.382830493018604,-0.000684533820022259,0.727525088681686,0.00289119714939889,0.481889667652076,0.00113952918406279
20,1,46.9516512327219,-0.0475107682413309,1.00357785126048,0.0212364685323942,0.38221013096189,-0.00130489587673571,0.727186740995734,0.00255284946344725,0.481474313233404,0.000724174765390717
21,1,46.9771937318014,-0.0219682691619028,1.00594085908151,0.0235994763534253,0.381969038628111,-0.0015459882105151,0.726782132977073,0.00214824144478587,0.480465966044697,-0.000284172423316464
22,1,47.0025430428768,0.00338104191350652,1.00769242111453,0.0253510383864457,0.381872838147209,-0.00164218869141658,0.725775398945542,0.00114150741325558,0.478981627360919,-0.00176851110709447
23,1,47.0274353911932,0.0282733902299412,1.00896849097873,0.0266271082506366,0.381790706121413,-0.00172432071721296,0.725730223581503,0.001096332049216,0.478522612971712,-0.00222752549630184
24,1,47.0517449333388,0.0525829323755502,1.01044774384906,0.0281063611209695,0.381726490988438,-0.0017885358501879,0.725326498859852,0.000692607327564931,0.477886369721268,-0.00286376874674532
25,1,47.0753515012011,0.0761895002378807,1.01116228566684,0.0288209029387474,0.381688281716414,-0.00182674512221165,0.724920325756066,0.000286434223779608,0.477373038139971,-0.00337710032804278
