calibration,year,base_price_index,shock_price_index,price_gap,base_fertility_rate,shock_fertility_rate,fertility_gap
benchmark,2050,1.0656924657762767,1.163130745966261,0.09743828018998424,0.1935952858278654,0.19037836649485645,-0.0032169193330089385
benchmark,2100,1.2539508776768038,1.7670662929922032,0.5131154153153994,0.1875307586443868,0.17531882766383652,-0.01221193098055029
low_price_sensitivity,2050,1.0687284044002292,1.1668951258684137,0.0981667214681845,0.19987597977548513,0.1973689607339709,-0.0025070190415142357
low_price_sensitivity,2100,1.2723631498908587,1.794967479707842,0.5226043298169833,0.1948248324408861,0.18519934726342172,-0.009625485177464393
high_price_sensitivity,2050,1.0627576393076408,1.1595021524375326,0.09674451312989185,0.18751490777781246,0.183644155774906,-0.003870752002906458
high_price_sensitivity,2100,1.236541553463115,1.7408881691206175,0.5043466156575025,0.18069797843079066,0.16615094307292855,-0.014547035357862115
low_family_demand,2050,1.0349932496224807,1.127935550744749,0.09294230112226831,0.19357548977626424,0.1904155371691346,-0.0031599526071296458
low_family_demand,2100,1.0924355485088646,1.5655387733641926,0.47310322485532796,0.19155659467508532,0.1785179994583816,-0.013038595216703724
high_family_demand,2050,1.097870949750566,1.1999912724465012,0.10212032269593507,0.19357700586865,0.19030529742299698,-0.0032717084456530265
high_family_demand,2100,1.4350878641690097,1.991141212042454,0.5560533478734444,0.1836696641495817,0.17221374639482664,-0.011455917754755046
