year,scenario,share_25_39,share_40_59,share_60_79,share_80,average_age,price,price_index,births,fertility_rate,theta,average_age_bridge,young_homeownership_proxy,old_homeownership_proxy,young_housing_burden_proxy,case
2020,low_immigration,0.318865981332888,0.383868773685741,0.291250211022057,0.0060150339593141,49.5040238638905,0.5771085536107421,1.0,0.08131471589690525,0.19601787138905247,0.4197088232833008,49.92830808287469,0.39899999999999997,0.7599999999999999,1.0,baseline
2021,low_immigration,0.318615071764913,0.380497815555189,0.294699279238067,0.0061878334418306,49.593985729983,0.5782940336479668,1.001186182996438,0.08110034112815655,0.19601787138905247,0.4230061406471709,50.006950748851175,0.39884934279392703,0.7599891882554414,1.0125004740269392,baseline
2022,low_immigration,0.318367541566906,0.377172247872283,0.298101905424053,0.0063583051367573,49.6827361570511,0.5806901433425722,1.0035880112885054,0.08086967696031264,0.19597140184344783,0.4262590582696934,50.084534437731264,0.39854489072421156,0.7599673343808001,1.026157438599904,baseline
2023,low_immigration,0.318123319859017,0.373891163897355,0.301459019260572,0.0065264969830566,49.7702995239681,0.5832546097566416,1.006164981902027,0.08062242154105607,0.19587751054746466,0.4294684666404132,50.1610804456619,0.39821913399172115,0.7599439434895465,1.0287308144387726,baseline
2024,low_immigration,0.317882352261119,0.370653671681837,0.304771522473296,0.0066924535837486,49.8566992647039,0.5859887951013889,1.0089197878087195,0.08037544882758117,0.19577707204736836,0.4326352256121723,50.23660911920069,0.3978719176213794,0.7599190028483706,1.031481125346744,baseline
2025,low_immigration,0.317644554421043,0.367458921124121,0.308040303896572,0.0068562205582632,49.9419586805004,0.588894256063405,1.0118554274941058,0.08012869940940248,0.19567004315347286,0.4357601888461952,50.31114110259017,0.3975030634464485,0.7598924979259056,1.03441366872637,baseline
2026,low_immigration,0.316580213265747,0.368078518942014,0.308137188223776,0.0072040795684626,49.9855132778071,0.5917904335897961,1.0147901881857921,0.07990430365238298,0.1955563738484805,0.4363201090231527,50.34231445916304,0.3971355036821632,0.7598660756992186,1.0373449822315048,baseline
2027,low_immigration,0.315524927261584,0.368692844174087,0.308233252601537,0.0075489759627912,50.0286972312417,0.5946776805727805,1.0177243719132238,0.07968180165332849,0.195443133453059,0.43687526661865783,50.373222591818106,0.3967691928275001,0.7598397329676386,1.0402784633746838,baseline
2028,low_immigration,0.314478593114607,0.369301962280767,0.308328498002175,0.00789094660245,50.0715147176814,0.5975563785407467,1.020658313934961,0.07946116676343085,0.19533030751234837,0.43742571117697143,50.40386845191256,0.3964040818023319,0.7598134662681686,1.0432147170342636,baseline
2029,low_immigration,0.313441104690573,0.369905927698373,0.308422937246679,0.0082300303643753,50.1139705321444,0.6004266476090923,1.0235920862666439,0.07924237091179052,0.19521788048793498,0.43797150514636296,50.43425533896201,0.39604015472335197,0.7597872745222473,1.0461509634966808,baseline
2030,low_immigration,0.312412335336828,0.370504818118217,0.308516583548434,0.0085662629965207,50.1560694813388,0.6032886063523817,1.0265257606125386,0.07902538742020053,0.19510584707882397,0.43851271158993504,50.464386823968056,0.39567739591774215,0.7597611566649966,1.0490872729422123,baseline
2031,low_immigration,0.310963804974185,0.37320016018657,0.307046179478853,0.0087898553603923,50.163430933939,0.6060432903277042,1.0293574130387197,0.07882910588042555,0.19499420205723395,0.437607860609193,50.4671475910208,0.3953283428069801,0.7597360159491684,1.051919484200408,baseline
2032,low_immigration,0.309525378438151,0.375876709434386,0.305586021831191,0.0090118902962728,50.170740964005,0.6086896560481574,1.0320850768167633,0.07863576367000921,0.1948868021644893,0.4367093141489948,50.46988896799254,0.39499311543606425,0.7597118621093824,1.0546482871281517,baseline
2033,low_immigration,0.308096944422718,0.37853466138116,0.304136011939847,0.0092323822562748,50.1780002425068,0.6112266434678741,1.0347067878905534,0.0784453506646672,0.19478368110597666,0.43581701311310195,50.472611370215745,0.3946718362093839,0.7596887050257262,1.0572718785796733,baseline
