year,share_18_39,share_40_59,share_60_79,share_80_plus,adult_share_sum
1950,0.48734147821029816,0.3325828857907042,0.16363968652515715,0.016435949473841183,1.0000000000000007
1951,0.4822841343962317,0.33468577243795083,0.16585883348688132,0.01717125967893596,0.9999999999999998
1952,0.4769681727133814,0.3369777366444465,0.1681814742343172,0.017872616407854668,0.9999999999999997
1953,0.47139909861024437,0.33941325360737745,0.1707048881859044,0.01848275959647359,0.9999999999999998
1954,0.4656702670606627,0.3419605045926397,0.17343377633543886,0.018935452011258683,1.0
1955,0.4599299389523431,0.3446124017871609,0.17625169508746383,0.019205964173031886,0.9999999999999998
1956,0.45551018286217926,0.3470933979619727,0.17726290752126014,0.02013351165458746,0.9999999999999996
1957,0.45153629819106356,0.3495099708798299,0.1781571125473504,0.020796618381756234,1.0000000000000002
1958,0.4479471751203474,0.3516894075627794,0.17913935508339712,0.021224062233475817,0.9999999999999998
1959,0.44454636309831913,0.3535488072299925,0.18040851338150657,0.02149631629018193,1.0000000000000002
1960,0.4412112658176675,0.3550967423946613,0.18200909915992408,0.02168289262774748,1.0000000000000004
1961,0.43887333984904264,0.35507347184445087,0.18315799100462574,0.022895197301880773,1.0
1962,0.43698328227839256,0.3548691788121177,0.18427887023548234,0.023868668674007696,1.0000000000000002
1963,0.4357321378318566,0.35440509472762816,0.1853461257815545,0.024516641658960576,0.9999999999999999
1964,0.43530923282675305,0.3535166249054799,0.18636762110965846,0.024806521158108417,0.9999999999999998
1965,0.43583686903393065,0.3519924020733993,0.18738542316741627,0.024785305725253837,1.0
1966,0.4371051012550774,0.34917324419218027,0.18778788598604593,0.02593376856669647,1.0
1967,0.4387707518385163,0.34619949568229397,0.18822334421026313,0.026806408268926912,1.0000000000000002
1968,0.44083574684884014,0.34313756921818733,0.1886400908485762,0.027386593084396567,1.0000000000000002
1969,0.443417690084599,0.3398975850704277,0.189010673929048,0.027674050915924626,0.9999999999999994
1970,0.4465909580467339,0.33633781226831494,0.18938424092407746,0.027686988760873242,0.9999999999999996
1971,0.451523803378852,0.3307016736413891,0.1890096292927399,0.028764893687018886,0.9999999999999998
1972,0.45695939274163405,0.32484279551148837,0.18857169048655664,0.029626121260320663,0.9999999999999998
