a_price,nimby_vote,nimby_vote_per_mass,nimby_mass,nimby_debt,nimby_price_income,nimby_rent_share,fertility_vote,fertility_vote_per_mass,fertility_mass,fertility_debt,fertility_price_income,fertility_rent_share,fertility_birth_rate,fertility_parity_0,fertility_parity_1,fertility_parity_2,fertility_parity_3plus,fertility_home_any_40,fertility_home_any_50
1.5,5.34245894256707,0.83636867116654,6.38768419567364,-46.1598577871288,0.16536200277608,0.0511689577742717,0.236729956328274,0.0384093214464431,6.16334648500271,40.4789035545773,0.124555672559852,2.73785932214095,0.655462838515146,0.0703943694846736,0.166057884938037,0.348711735631905,0.414836009945383,0.884536171475095,0.872287107270794
1.75,5.01445421357025,0.78501911803444,6.38768419567364,-28.3967807594253,0.192922336572093,0.371005744523365,0.00844594775028075,0.00137035095638908,6.16334648500271,44.4065906403398,0.145314951319828,2.86694141225424,0.597710229099888,0.133577841100662,0.217942057275854,0.333210004209385,0.315270097414099,0.812506981724345,0.795112740174486
2,4.14748822366267,0.649294501201508,6.38768419567364,-22.863033541167,0.220482670368106,0.979379172669442,-0.333212572874663,-0.0540635795319102,6.16334648500271,44.7534044293767,0.166074230079803,3.14064126861273,0.529014660128262,0.223715646656335,0.255602512782425,0.292729382106203,0.227952458455037,0.718947966240769,0.695708483372948
2.25,1.48341550880323,0.232230564843507,6.38768419567364,-8.46701621892077,0.24804300416412,2.44085322537158,-0.345243474842322,-0.0560155875841807,6.16334648500271,42.9601010138988,0.186833508839778,3.20766743578005,0.450613411619142,0.335495461331555,0.27133719085943,0.23809702253937,0.155070325269646,0.607634381027002,0.58122693832019
2.5,-3.37790446994536,-0.528815196003774,6.38768419567364,29.9230790336153,0.275603337960133,4.88317618311338,-0.432148809849685,-0.0701159363506878,6.16334648500271,40.3334807039867,0.207592787599754,3.27032441691114,0.364748214544461,0.460292714770487,0.264236287928018,0.178865350948828,0.096605646352667,0.484174451761027,0.460322767956993
2.75,-1.29215646189233,-0.202288720342109,6.38768419567364,27.8220441793211,0.303163671756146,3.8402634576512,-0.378818175982334,-0.061463066680433,6.16334648500271,37.0929010525287,0.228352066359729,3.26878223896393,0.277231779898699,0.587215688182144,0.237074621337678,0.122365718625181,0.0533439718549968,0.358847981120599,0.342921428659882
3,-1.21645655036082,-0.19043780392035,6.38768419567364,23.5991763232399,0.33072400555216,3.80240532984136,-0.341993779813754,-0.0554883261302814,6.16334648500271,33.3355989816836,0.249111345119705,3.26610861922267,0.197749834782627,0.702712631475064,0.196125412132916,0.0754530265308701,0.0257089298611486,0.246993112567828,0.240538285104025
3.25,-1.20316469193331,-0.188356946755166,6.38768419567364,20.8390326762469,0.358284339348173,3.79655534521257,-0.310174900702172,-0.0503257283128446,6.16334648500271,28.5959775710556,0.26987062387968,3.25368685768636,0.134422251721448,0.795655364262429,0.151029388208337,0.0423231970262248,0.0109920505030094,0.160710504688026,0.161362232299246
3.5,-1.19695382254807,-0.187384627336267,6.38768419567364,17.7192469276822,0.385844673144186,3.79413596880525,-0.312776584205616,-0.0507478502087618,6.16334648500271,25.9097209173484,0.290629902639655,3.25446674414463,0.0889742923375782,0.863215053014006,0.110321563062201,0.0221400396351234,0.00432334428866988,0.101639808865151,0.105819906778148
