price,child_state,population_share,vote_support
0.9,0,0.897267814729149,0.480178096712554
0.9,1,0.102732185270851,0.289435528110142
0.9,2,0,0
1,0,0.897267814729507,0.543156624700814
1,1,0.102732185270493,0.482450639643188
1,2,0,0
1.1,0,0.897267814745106,0.367191747502996
1.1,1,0.102732185254894,-0.115754083261791
1.1,2,0,0
