age,price,birth_rate,vote_support
25,0.9,0.317798566768677,-0.200000000000001
30,0.9,0.34018184735115,-0.260065374824311
35,0.9,0.311994253128861,0.0241606743327684
40,0.9,0.303077487984151,0.440966512883528
45,0.9,0,0.590072123210615
50,0.9,0,0.464287471498626
55,0.9,0,0.723107054886404
60,0.9,0,0.705090893585907
65,0.9,0,0.727607284922719
70,0.9,0,0.813852619065714
75,0.9,0,0.813852619065714
80,0.9,0,0.888039883292252
85,0.9,0,0.981851992824471
90,0.9,0,0.99988728486184
25,1,0.317798565916783,-0.200000000000001
30,1,0.340181847131596,0.844306393974409
35,1,0.311994253496301,0.384844007986339
40,1,0.303077488105446,0.450254362885397
45,1,0,0.447745120684059
50,1,0,0.635063098180157
55,1,0,0.58056859123712
60,1,0,0.654719427363237
65,1,0,0.559370270809944
70,1,0,0.646946205969327
75,1,0,0.646217092124659
80,1,0,0.681157515434735
85,1,0,0.871054768642069
90,1,0,0.999856872513441
25,1.1,0.317798566140717,-1
30,1.1,0.340181846612358,-0.622347885897836
35,1.1,0.311994253325325,-0.580103734989912
40,1.1,0.303077488375637,0.184557297633959
45,1.1,0,0.598754897154298
50,1.1,0,0.820394137749739
55,1.1,0,0.710818077080854
60,1.1,0,0.754680971392953
65,1.1,0,0.500195979222857
70,1.1,0,0.974445533887191
75,1.1,0,0.977149354017578
80,1.1,0,0.978666408672308
85,1.1,0,0.91631705120208
90,1.1,0,0.908503624169257
