birth_utility_1,birth_utility_2,birth_utility_3,birth_price_coeff,lambda_crowd,birth_rate_p15,birth_rate_p20,birth_rate_p25,birth_rate_p30,birth_decline,vote_p15,vote_p20,vote_p25,vote_p30,vote_sign_changes,vote_low_positive,vote_high_negative,vote_cross,mass_error,share_parity_0,share_parity_1,share_parity_2,share_parity_3plus,parity_rmse,share_home_any_40,share_home_any_50,mean_home_children_40,mean_home_children_50,score,seed_rank
1.18,1.48,1.52,0.34,0.26,0.735131432336687,0.602587720236232,NaN,0.161181648585214,0.573949783751474,-0.0378226948763699,0.00640213453127933,NaN,-0.00472109875639626,2,0,1,1,1.11022302462516e-15,0.154132941620625,0.185763171517756,0.339660337197486,0.320443549664132,0.0207808431205331,0.809040450209241,0.783674530016572,1.28434587789149,1.53574538341786,0.0531677345252455,NaN
1.12,1.5,1.5,0.33,0.27,0.719494441650932,0.580333390171356,NaN,0.14614637417475,0.573348067476182,-0.0148867528666273,0.005927435289109,NaN,-0.00465027359855374,2,0,1,1,1.11022302462516e-15,0.200359959412636,0.166855966579264,0.348611702850247,0.284172371157853,0.0223879750744719,0.783517547943354,0.742036608319515,1.22131512136526,1.44070106806422,-0.379070189617371,NaN
1.15,1.5,1.5,0.34,0.27,0.711797725897294,0.56649932474957,NaN,0.132337857846377,0.579459868050917,-0.0173209897862025,0.00572797434484179,NaN,-0.0040968798336202,2,0,1,1,1.11022302462516e-15,0.213183999870896,0.185823571549764,0.342217572589864,0.258774855989476,0.0286333603833383,0.763288436618311,0.724369551753552,1.17318212717996,1.3771641798677,-0.843740209989654,NaN
1.0682102284518,1.48567449271263,1.41302556890585,0.344633860937969,0.241742438653536,0.717619539097311,0.578603370782564,NaN,0.111234497613975,0.606385041483336,-0.0136924199733349,0.00508394605057463,NaN,-0.00407453047964948,2,0,1,1,1.77635683940025e-15,0.17264599881873,0.148282260056792,0.41389468620365,0.265177054920828,0.0377097203429967,0.816575747303938,0.772056262515419,1.24439106312948,1.48330493630956,-1.17565169889256,NaN
1.15,1.45,1.55,0.34,0.26,0.742795422943171,0.59679584964377,NaN,0.137396274819569,0.605399148123602,-0.0360775712035839,0.00659848699636739,NaN,-0.00447365016661472,2,0,1,1,8.88178419700125e-16,0.17894730783785,0.183194372493951,0.290063072880582,0.347795246787617,0.0466756707450981,0.789764447423825,0.760967288685062,1.28949109961504,1.52463586965061,-1.50078663915221,NaN
1.12993742623865,1.5486861350206,1.4578118932446,0.357499568248961,0.247129928263417,0.724237238629365,0.594650042397643,NaN,0.122969394954151,0.601267843675214,-0.0397335638151977,-0.0441656893143578,NaN,-0.00432993279458693,0,0,1,0,1.33226762955019e-15,0.148404289005918,0.14235182075709,0.437966462458162,0.271277427778829,0.0489503133681882,0.838033262151191,0.797397943796731,1.2721231618863,1.53474652574845,-2.17954664624773,NaN
1.04543812982263,1.54561520276379,1.52534244123782,0.303829019350569,0.283780338251183,0.7301029658452,0.604890765476009,NaN,0.196244570127418,0.533858395717782,-0.011124977778176,0.00623437999097809,NaN,-0.0240413315679529,2,0,1,1,1.33226762955019e-15,0.190347558199152,0.116424322341765,0.359634327380263,0.333593792078821,0.0471026257888648,0.815924757582237,0.765409289414529,1.30318817077986,1.55238235997676,-2.3212754638953,NaN
1.18314375368569,1.40918017285605,1.56423794583208,0.329281186396022,0.267657587222319,0.738084603366979,0.591965799276851,NaN,0.163118159533567,0.574966443833413,-0.00887741988980247,0.006862453367843,NaN,-0.00441180129419466,2,0,1,1,8.88178419700125e-16,0.182323789327768,0.218664437497094,0.255186698503276,0.343825074671863,0.0607970287113775,0.764979517972216,0.749803306286049,1.2547477528527,1.48362938407304,-2.55923058710888,NaN
1.16799649962498,1.42094711406358,1.52803323435971,0.308309482400385,0.264420569237838,0.748192606175829,0.63212569998961,NaN,0.233890200810674,0.514302405365155,-0.00743873960362929,0.00706462992928655,NaN,-0.0245257611060583,2,0,1,1,1.33226762955019e-15,0.123100567471498,0.183617290066875,0.30159501558124,0.391687126880387,0.0638268224031528,0.831498158645057,0.816946268448723,1.37265361012731,1.66020923481523,-3.09058549449739,NaN
1.1,1.45,1.5,0.32,0.28,0.69909993342277,0.545156160683225,NaN,0.130799281860773,0.568300651561997,-0.017853415231089,0.00581079064308884,NaN,-0.00404122726559136,2,0,1,1,1.99840144432528e-15,0.266216354767131,0.188776346910256,0.28896433442897,0.256042963893643,0.0627095516000675,0.716954645138836,0.672283306793048,1.11884575103894,1.28496450296897,-3.39587596256637,NaN
