sweep,value,model,post_price_response,peak_price_response,young_homeownership_trough,old_homeownership_trough,boom_generation_access_trough,child_generation_access_trough,boom_fertility_response,post_fertility_response
shock_size,0.1,fertility_extension,0.05076976078534756,0.06292691702554931,-0.0106775221423967,-0.001528292765227035,0.9836557877740261,0.9737033693177456,0.022342019499478873,-0.0036616076622489196
shock_size,0.1,nimby_proxy,0.031055830976052533,0.039656911761946134,-0.012801272012381293,-0.0017803744421965861,0.9866786160446661,0.9791354803627326,0.021651637170887184,-8.775329660315467e-07
shock_size,0.2,fertility_extension,0.09636561920321357,0.11920556531231863,-0.019489945960802668,-0.0028002344455946293,0.9696193347910788,0.9518505948724201,0.044662213936352925,-0.00668512751010371
shock_size,0.2,nimby_proxy,0.047442234359907014,0.06058546532321074,-0.019099022635635954,-0.0026603062919093867,0.9799948108880646,0.9686875998106239,0.04354984563616475,-1.6868153494928317e-06
shock_size,0.3,fertility_extension,0.12546430883291568,0.15491812969292795,-0.02476591420967822,-0.003843587166376561,0.96094690777462,0.9386899927506577,0.06696021605570754,-0.00850050413068834
shock_size,0.3,nimby_proxy,0.05839795114337789,0.07457927775674467,-0.023150988569543174,-0.0037062567402348368,0.9756075538022283,0.961902554777979,0.06571241132684444,-2.437549933440031e-06
price_fertility_semi_elasticity,0.1,fertility_extension,0.04932876691977892,0.06387973117086343,-0.012103272255011732,-0.0017363924365735306,0.9841497003954393,0.9744252911885896,0.02217063901136772,-0.0017953299143105943
price_fertility_semi_elasticity,0.1,nimby_proxy,0.031055830976052533,0.039656911761946134,-0.012801272012381293,-0.0017803744421965861,0.9866786160446661,0.9791354803627326,0.021651637170887184,-8.775329660315467e-07
price_fertility_semi_elasticity,0.2,fertility_extension,0.05076976078534756,0.06292691702554931,-0.0106775221423967,-0.001528292765227035,0.9836557877740261,0.9737033693177456,0.022342019499478873,-0.0036616076622489196
price_fertility_semi_elasticity,0.2,nimby_proxy,0.031055830976052533,0.039656911761946134,-0.012801272012381293,-0.0017803744421965861,0.9866786160446661,0.9791354803627326,0.021651637170887184,-8.775329660315467e-07
price_fertility_semi_elasticity,0.3,fertility_extension,0.05184229929105988,0.060611014157152754,-0.01041232812948456,-0.0014508767354380891,0.9831562882212589,0.973152843653451,0.022514105899791532,-0.005506653828913787
price_fertility_semi_elasticity,0.3,nimby_proxy,0.031055830976052533,0.039656911761946134,-0.012801272012381293,-0.0017803744421965861,0.9866786160446661,0.9791354803627326,0.021651637170887184,-8.775329660315467e-07
family_demand_scale,0.5,fertility_extension,0.04458515212884029,0.05437827329413125,-0.01283343877850096,-0.0017828594016116028,0.9839671930384429,0.9724723088628202,0.022435398113914557,-0.004312593103101346
family_demand_scale,0.5,nimby_proxy,0.031055830976052533,0.039656911761946134,-0.012801272012381293,-0.0017803744421965861,0.9866786160446661,0.9791354803627326,0.021651637170887184,-8.775329660315467e-07
family_demand_scale,1.0,fertility_extension,0.05076976078534756,0.06292691702554931,-0.0106775221423967,-0.001528292765227035,0.9836557877740261,0.9737033693177456,0.022342019499478873,-0.0036616076622489196
family_demand_scale,1.0,nimby_proxy,0.031055830976052533,0.039656911761946134,-0.012801272012381293,-0.0017803744421965861,0.9866786160446661,0.9791354803627326,0.021651637170887184,-8.775329660315467e-07
family_demand_scale,1.5,fertility_extension,0.057929969479466534,0.0729981721387295,-0.009454359126762568,-0.0013961447630542745,0.9832741916130097,0.9744497548466439,0.02224950030041809,-0.0032305426797882017
family_demand_scale,1.5,nimby_proxy,0.031055830976052533,0.039656911761946134,-0.012801272012381293,-0.0017803744421965861,0.9866786160446661,0.9791354803627326,0.021651637170887184,-8.775329660315467e-07
