candidate_id,birth_utility_1,birth_utility_2,birth_utility_3,child_utility,birth_cost,birth_price_coeff,lambda_crowd,birth_rate_p15,birth_rate_p20,birth_rate_p25,birth_rate_p30,birth_decline,vote_p15,vote_p20,vote_p25,vote_p30,vote_sign_changes,vote_low_positive,vote_high_negative,vote_cross,mass_error,share_parity_0,share_parity_1,share_parity_2,share_parity_3plus,parity_rmse,share_home_any_40,share_home_any_50,mean_home_children_40,mean_home_children_50,demo_score,benchmark_score,stage1_demo_rank,stage1_benchmark_rank
1,0.85,1.1,1.2,0.02,0.06,0.24,0.18,0.655462838515147,0.529014660128257,NaN,0.197749834782628,0.45771300373252,0.00321260247661209,0.00116751285691613,NaN,-0.310397903995856,1,1,1,1,1.95399252334028e-14,0.223715646656343,0.255602512782427,0.2927293821062,0.227952458455029,0.0607283625864441,0.718947966240756,0.69570848337294,1.09650232669863,1.26490888045424,-7.13069492238145,-4.17298191864893,NaN,NaN
2,0.42,0.28,0.14,0,0.05,0.085,0.5,0.0415646850580368,0.0332077980235475,NaN,0.0205416552283524,0.0210230298296844,0.119393191929097,0.00109786248506072,NaN,-0.310397903995857,1,1,1,1,1.77635683940025e-14,0.980978016370927,0.0187176241317188,0.000301317192311299,3.04230504359241e-06,0.475565896052021,0.0128684983789341,0.0141133688863101,0.013108670662005,0.0143200074467847,-58.2240520155873,-55.7030289857577,NaN,NaN
3,0.85,1.1,1.2,0.02,0.06,0.24,0.18,0.655462838515147,0.529014660128257,NaN,0.197749834782628,0.45771300373252,0.00321260247661209,0.00116751285691613,NaN,-0.310397903995856,1,1,1,1,1.95399252334028e-14,0.223715646656343,0.255602512782427,0.2927293821062,0.227952458455029,0.0607283625864441,0.718947966240756,0.69570848337294,1.09650232669863,1.26490888045424,-7.13069492238145,-4.17298191864893,NaN,NaN
4,0.95,1.25,1.35,0.03,0.06,0.3,0.22,0.650564974604037,0.483376235682413,NaN,0.102804950894172,0.547760023709865,0.00393691651358341,-0.0204558403622922,NaN,-0.310397903995857,1,1,1,1,7.105427357601e-15,0.329262192727467,0.232649992476366,0.244673394508875,0.193414420287292,0.111309674529534,0.636974817654516,0.598161021994337,0.966416449770023,1.07864101683574,-13.0545143377553,-10.0067543140454,NaN,NaN
5,1,1.3,1.35,0.03,0.08,0.38,0.26,0.422546158426732,0.191309471480708,NaN,0.0154775669142937,0.407068591512438,0.0135092775010329,0.00106084074333407,NaN,-0.310397903995857,1,1,1,1,1.06581410364015e-14,0.762034385733872,0.153247975891962,0.0646577698024461,0.0200598685717192,0.358359991477642,0.20498406201757,0.194070607299218,0.256886897832772,0.270192535980095,-41.6461570780036,-38.7390884864911,NaN,NaN
6,1.05,1.35,1.4,0.03,0.08,0.4,0.255,0.458775801661287,0.212128927911423,NaN,0.0150577696259837,0.443718032035303,-0.00404186126194001,-1.12566656386703e-05,NaN,-0.310397903995856,0,0,1,0,1.4210854715202e-14,0.730809678853548,0.166548353239391,0.0769804597551797,0.0256615081518815,0.341506836891181,0.235657849004849,0.221109480488281,0.299817997504401,0.314651523772083,-39.3508678060477,-39.4071497740124,NaN,NaN
7,1.1,1.45,1.5,0.04,0.07,0.32,0.28,0.664309290793406,0.513203300171889,NaN,0.127099523490888,0.537209767302518,-0.0913282777424219,-0.0225172365486889,NaN,-0.313637035155652,0,0,1,0,1.77635683940025e-14,0.320200426379959,0.204902283641681,0.268439870370301,0.206457419608059,0.0977761092995902,0.663158076087375,0.614853177162098,1.00680349036674,1.13259789064927,-10.8500073296686,-10.8127975623661,NaN,NaN
8,1.2,1.55,1.6,0.03,0.1,0.45,0.2,0.704244867387417,0.460050709644339,NaN,0.0235501534434676,0.680694713943949,-0.187455096677733,-0.101170814442065,NaN,-0.310397903995857,0,0,1,0,1.4210854715202e-14,0.348829769008692,0.211630816332444,0.265993947501749,0.173545467157115,0.117094732773877,0.631965816634929,0.582724410230584,0.942102714158765,1.04493610896028,-13.3172082601674,-13.1365135462235,NaN,NaN
9,0.996290517558339,1.37982942358563,1.24576915543658,0.0745234850636011,0.0126876802287618,0.299016311140868,0.285078834106301,0.746852362888179,0.66614435233115,NaN,0.296720826659903,0.450131536228277,-0.0748299595834854,-0.0800515310431306,NaN,-0.349148560326919,0,0,1,0,1.77635683940025e-14,0.0555940593668268,0.0910549441598871,0.459794944937217,0.393556051536069,0.105728037064229,0.927742827002074,0.904074964558785,1.48512571776277,1.85627375442709,-13.0539118072257,-13.1037802709975,NaN,NaN
10,1.13291700428857,1.58462662962244,1.87525708353417,0.0588585079594239,0.040042887382422,0.224922718291556,0.185744691419154,0.825596223266207,0.822378580759989,NaN,0.811242179183433,0.0143540440827739,0.0373384900217208,-0.052922530249131,NaN,-0.338740534599587,1,1,1,1,1.77635683940025e-14,6.47914070677058e-08,4.67201762208914e-06,0.00137732803299099,0.99861793515798,0.418386847737223,0.999999180803157,0.999954871659968,2.04804935046693,2.63619722322546,-42.709910700016,-40.1955566559332,NaN,NaN
