t,birthrate_index,average_age,average_age_dev,house_price_index,house_price_dev,young_homeownership,young_homeownership_dev,old_homeownership,old_homeownership_dev,aggregate_homeownership,aggregate_homeownership_dev,boom_generation_homeownership_index,child_generation_homeownership_index,parent_generation_homeownership_index,boom_generation_networth_index,child_generation_networth_index,parent_generation_networth_index,boom_generation_consumption_index,child_generation_consumption_index,parent_generation_consumption_index,boom_generation_housing_index,child_generation_housing_index,parent_generation_housing_index
0,1.1,46.9991620009633,0,0.982341382728089,0,0.383515026838626,0,0.724633891532287,0,0.480750138468013,0,NaN,NaN,1.0134938863259,1.00423133372857,NaN,0.993218285118876,0.999669287033992,NaN,0.995236617172406,1.00158112036999,NaN,1.01349386190362
1,1.1,46.9551634403128,-0.0439985606505005,0.981533011188732,-0.000808371539357311,0.38370583910114,0.000190812262514162,0.725310677291828,0.000676785759540999,0.481810654187897,0.00106051571988358,NaN,NaN,1.01516200360237,1.00489857764258,NaN,0.993901798998583,0.999618005761848,NaN,0.994862714925244,1.00161743098483,NaN,1.0151619693146
2,1.1,46.913127530143,-0.0860344708202447,0.981375159469583,-0.000966223258505816,0.383833510855183,0.000318484016556819,0.725623453770253,0.000989562237966091,0.482239245933852,0.00148910746583875,Inf,NaN,1.01782184577708,1.00628838143584,NaN,0.99478955907617,0.999511643712512,NaN,0.994551595332445,1.00283716258423,NaN,1.01782249033116
3,1.1,46.8729899842813,-0.126172016681963,0.981300655151329,-0.00104072757675999,0.383898928954279,0.000383902115653034,0.726165605937319,0.00153171440503252,0.482686534827114,0.00193639635910087,1.160165850464,NaN,1.01848030108187,1.00657631367001,NaN,0.995452878777139,0.999399313906596,NaN,0.994529356376508,1.00297272664042,NaN,1.01848208853045
4,1.1,46.8347754929614,-0.16438650800184,0.981288671488564,-0.00105271123952444,0.383941657345577,0.000426630506950854,0.726697538273816,0.00206364674152926,0.483108640868999,0.00235850240098506,1.06368803480545,NaN,1.01854920210181,1.00677198932028,NaN,0.995985553343071,0.999330557784221,NaN,0.994742563257869,1.00286129374331,NaN,1.01855169685987
5,1.1,46.7985465163728,-0.200615484590458,0.981324789967122,-0.00101659276096644,0.383971005781596,0.00045597894296967,0.727182509219718,0.00254861768743098,0.483506048623529,0.00275591015551546,1.03787146428656,NaN,1.01903920014252,1.0071226498851,NaN,0.996466491050761,0.999233197658262,NaN,0.994861983722253,1.00271595450868,NaN,1.01904224368104
6,1.1,46.7642076141886,-0.234954386774689,0.981847456368578,-0.000493926359511399,0.383985200189714,0.000470173351088288,0.728046009989363,0.00341211845707656,0.483541634991518,0.00279149652350474,1.03927021017073,NaN,1.01496817446887,1.0077791879832,NaN,0.996890853487428,0.999097134905409,NaN,0.995746522707502,1.0032791871063,NaN,1.01497175634956
7,1.1,46.7316417274109,-0.267520273552371,0.982340625279431,-7.57448657462412e-07,0.383984373029995,0.000469346191368569,0.728511903223876,0.00387801169158952,0.483825966225521,0.00307582775750731,1.05205044439181,NaN,1.01494769463291,1.00857095941483,NaN,0.99747101569239,0.998896571638901,NaN,0.996010124659874,1.00477931487637,NaN,1.01495172701568
8,1.1,46.700858872412,-0.298303128551233,0.982422744165969,8.13614378799565e-05,0.38398304655005,0.00046801971142435,0.728937792455222,0.00430390092293575,0.484092383262059,0.00334224479404521,1.05023027592532,NaN,1.01474406870343,1.00868662265872,NaN,0.997778793758326,0.998816421072308,NaN,0.996246196489264,1.00557319357775,NaN,1.01474854342002
9,1.1,46.7183601763241,-0.280801824639205,0.982724607362821,0.000383224634731727,0.383961790999035,0.000446764160409396,0.729297349867388,0.00466345833510118,0.484341923117115,0.00359178464910115,1.0421565838608,NaN,1.0146636244577,1.00838563407846,NaN,0.998170267758139,0.998804064050167,NaN,0.996395123105851,1.00567274461957,NaN,1.01466853662542
10,1,46.7358204768512,-0.263341524112064,0.983786134781456,0.00144475205336692,0.383946697501508,0.000431670662881911,0.729624514118754,0.00499062258646754,0.484562176531957,0.00381203806394353,1.03530173131862,NaN,1.01513014353081,1.00816098172504,NaN,0.998876182668068,0.998818551029893,NaN,0.996448965912377,1.00559819028275,NaN,1.01513546406667
11,1,46.7535865966764,-0.245575404286818,0.985002763943307,0.00266138121521764,0.383933815269243,0.000418788430617045,0.729936208861413,0.00530231732912589,0.48474706655397,0.00399692808595609,1.03851039278756,NaN,1.01540742974627,1.00835429971204,NaN,0.999555436059029,0.998618158457278,NaN,0.996824810548116,1.0071419608746,NaN,1.01541315594896
12,1,46.772023014415,-0.227138986548255,0.986695179341868,0.00435379661377888,0.383914706285702,0.000399679447075585,0.729287957345465,0.00465406581317884,0.48462845671589,0.0038783182478761,1.03473684898034,NaN,1.01424973143879,1.00818084585775,NaN,1.00034612745701,0.998585037824873,NaN,0.997586599652936,1.00766452753905,NaN,1.01425591922723
13,1,46.7913466069777,-0.20781539398557,0.988387936135343,0.00604655340725446,0.383887412616458,0.000372385777831663,0.72935703837137,0.00472314683908381,0.484777214979418,0.00402707651140494,1.02996568024058,NaN,1.01189688607789,1.00791169150353,NaN,1.00101170307973,0.998580344807458,NaN,0.998344964554265,1.00772192872732,NaN,1.01190203888399
14,1,46.8115390096189,-0.187622991344355,0.990236359408913,0.00789497668082451,0.383779903587169,0.000264876748542531,0.729439409963361,0.00480551843107435,0.484019921793948,0.00326978332593475,1.03155876311898,NaN,1.01094973884414,1.00781870439343,NaN,1.00172584475508,0.998531471392143,NaN,0.999050068919979,1.00932491986253,NaN,1.01095471845527
15,1,46.8325438414404,-0.166618159522898,0.992177087671697,0.00983570494360797,0.383735803602066,0.000220776763439734,0.729523022429808,0.00488913089752108,0.483999126650498,0.00324898818248431,1.03189321732486,NaN,1.01039872600395,1.00754495069463,NaN,1.00246716229914,0.998519628135857,NaN,0.999471514176965,1.01070489428581,NaN,1.01040361074999
16,1,46.8544874865293,-0.144674514434016,0.994269298604442,0.0119279158763536,0.383684806103082,0.000169779264456049,0.728233978987802,0.00360008745551532,0.483612521153382,0.00286238268536815,1.03196770990842,NaN,1.00816866893145,1.00729098362363,NaN,1.00317106601337,0.99851617991115,NaN,1.00038423403339,1.01198768467952,NaN,1.00817364826251
17,1,46.8774933082401,-0.121668692723162,0.996641569185671,0.0143001864575821,0.383629936588852,0.000114909750226155,0.72803730929103,0.00340341775874387,0.482889735394628,0.00213959692661436,1.02412905021364,NaN,1.00746859586021,1.00674926172372,NaN,1.00399417987728,0.998904660332213,NaN,1.00114600536622,1.0100709070443,NaN,1.00747361818484
18,1,46.9015089429203,-0.0976530580429795,0.998889424192773,0.0165480414646842,0.383399843360129,-0.000115183478496705,0.727874641588459,0.00324075005617241,0.482278641124329,0.00152850265631577,1.01223582407999,NaN,1.00695557804186,1.00600781965667,NaN,1.00477009621073,0.999676003415128,NaN,1.00167792772065,1.00567918694524,NaN,1.00696067687508
