t,price,births,fertility_rate,young_share,old_share,theta,average_age,n_home,young_homeownership_proxy,old_homeownership_proxy,aggregate_homeownership_proxy,age_share_15,age_share_25,age_share_35,age_share_45,age_share_55,age_share_65,age_share_75,age_share_85,boom_generation_age,parent_generation_age,child_generation_age,boom_generation_homeownership_proxy_level,parent_generation_homeownership_proxy_level,child_generation_homeownership_proxy_level,boom_generation_housing_burden_proxy_level,parent_generation_housing_burden_proxy_level,child_generation_housing_burden_proxy_level,birthrate_index,average_age_dev,house_price_index,house_price_dev,fertility_rate_dev,n_home_dev,young_homeownership_proxy_dev,old_homeownership_proxy_dev,aggregate_homeownership_proxy_dev,boom_generation_homeownership_proxy_index,boom_generation_housing_burden_proxy_index,parent_generation_homeownership_proxy_index,parent_generation_housing_burden_proxy_index,child_generation_homeownership_proxy_index,child_generation_housing_burden_proxy_index
36,-0.553671061017255,0.0882224197681239,0.245761550405568,0.198203367287104,0.442820952332727,0.908106255423622,53.717828455048,0.17682605615318,0.459817573758325,0.741951333270438,0.555760243846346,0.0959501750734715,0.102253192213632,0.110586980347141,0.119547020457938,0.128841679575091,0.138582860991602,0.148233031423177,0.156005059917948,31.5,56.5,6.5,0.46803444055957,0.724177273769771,,0.588225474912666,0.577165303675889,,0.9869922620835542,0.12040954002460325,0.5748356753563169,0.03202729973651941,-0.0028340124781190135,-0.0020608642827859847,-0.007742101556881986,-0.001074554657789939,-0.0017063944709410084,0.9839320654379439,1.058724241960163,0.9978735750073935,1.0589532100270969,,
37,-0.548655631222894,0.0881186481356938,0.24551515404415,0.198001947783295,0.443084776664485,0.906205546170319,53.733448365218,0.176570213269447,0.459144911415199,0.741854104091315,0.555614363473392,0.0958456336788693,0.102156314104426,0.110533347634488,0.119541980821693,0.128837947096039,0.138575016770401,0.148299306811423,0.15621045308266,32.5,57.5,7.5,0.473271758104992,0.728766897490459,,0.592518906488148,0.579789196367531,,0.9862412781315794,0.13449558475830514,0.5777259652938381,0.033539509517702126,-0.0029543740377520056,-0.0022333774744680013,-0.008069599212490008,-0.001121484636168013,-0.0017654835781739653,0.9837181891140375,1.0613000703721842,0.9979798319170933,1.0615846596831615,,
38,-0.543860012426304,0.088022397526214,0.245279787517491,0.197844132119346,0.443290596440637,0.904929828588623,53.7454385020241,0.176341067903818,0.458497421960753,0.741761584885782,0.555477901818847,0.095764951431047,0.102079180688299,0.110465601688564,0.119524014351315,0.128875655400138,0.138617402866385,0.148340567869204,0.156332625705048,33.5,58.5,8.5,0.478527009430763,0.733405750138784,,0.59670594375983,0.582297856777976,,0.9858109678300794,0.14273899705759874,0.5805031726837533,0.0348071391472633,-0.003052118231071016,-0.0023920119451980026,-0.008340518894021987,-0.0011648716510059831,-0.0018238285907750118,0.9836557877740252,1.0633967698179723,0.9981110220504441,1.0637404232370649,,
39,-0.53919563220336,0.0879180323522651,0.245051078574627,0.197700479753326,0.443525207300768,0.907116559753327,53.7569244901973,0.176141045661908,0.457867040198994,0.741676748049494,0.555355681667001,0.0956830377553804,0.102017441997946,0.110408374941655,0.119479089537642,0.128886848466609,0.138690860536389,0.148421135373484,0.156413211390895,34.5,59.5,9.5,0.483789634212895,0.738091041694133,,0.600838024219859,0.584741375475289,,0.9854191745884,0.14699505971380233,0.5832171848735647,0.03577412368791133,-0.003122126626140004,-0.0024962428855259955,-0.008539902348451034,-0.0011917344450269596,-0.0018507911960650159,0.9837592198905071,1.0649094655637326,0.9982649618901291,1.0653083429566652,,
40,-0.534193902295481,0.0878045206578482,0.244806065282358,0.197539707574579,0.443790581539888,0.908611155414465,53.7700281606088,0.175940429878479,0.457193609573555,0.74158562687089,0.555216922869101,0.0955889153975445,0.101950792177034,0.110363911582747,0.119441341513944,0.128864457788843,0.138730954129198,0.148529817499672,0.156529809911018,35.5,60.5,10.5,0.48815731766817,0.742813875027117,,0.604285654427126,0.587393676741307,,0.9849263623882757,0.1520130430983997,0.5861415871483774,0.03668509781435436,-0.0031849915771030024,-0.0025678145924240003,-0.008718631852563996,-0.0012115728021330208,-0.001869267046491041,0.983964031556371,1.0663036419752752,0.998425710109992,1.0667329937901122,,
41,-0.528948475117185,0.0876951281912013,0.244549377471973,0.19736557513529,0.44403556398128,0.909781111652031,53.7836473259536,0.175722553010113,0.456488593428049,0.741485918267248,0.555061615843057,0.0954894832580343,0.101876091877256,0.1103195171256,0.119423235208992,0.128856108548838,0.138741700182025,0.148610080860336,0.15668378293892,36.5,61.5,11.5,0.491660924865168,0.747578335227904,,0.60698467653361,0.590202139939276,,0.9845150050366828,0.1584014834288041,0.5892242279758152,0.037556046648616226,-0.003242515636893012,-0.0026446747823700156,-0.00888072901800202,-0.0012336540602810864,-0.0018947149400549979,0.9842624183034419,1.06761175955895,0.9985908649331199,1.0680506200192608,,
42,-0.523503413953591,0.0875884900148823,0.244283205167155,0.19719706439309,0.444249878490486,0.911731891459056,53.796018095099,0.17549964884905,0.455756442251013,0.741381654962897,0.554897712715889,0.0953978146037257,0.101799249789364,0.110270238977785,0.119409365761798,0.128873452376842,0.138772420924309,0.14866413261258,0.156813324953597,37.5,62.5,12.5,0.495160308376753,0.752386935447616,,0.609817495022096,0.593142883218932,,0.9842675877594318,0.1630541856572023,0.5924413406753299,0.038359798858488836,-0.00329245414554602,-0.0027231066586949904,-0.00902230373488,-0.0012563055688270541,-0.0019256347135100382,0.9846097572798603,1.0687633710170992,0.9987599739575903,1.0692117099045138,,
43,-0.517754038879315,0.0874733145583309,0.244002471448262,0.197033888260501,0.44447255206718,0.914318610176254,53.8080372900489,0.175283618206084,0.454981830836697,0.741273467047335,0.554728512198595,0.0953062633605296,0.101727624899971,0.110215344255136,0.11938665928462,0.128891556132563,0.138826719337413,0.148735212584896,0.156910620144871,38.5,63.5,13.5,0.498647586970697,0.757239967766297,,0.612851201664391,0.596280216880119,,0.9840590211707623,0.16527640134589916,0.5958573186119007,0.03912062493234736,-0.003336591793545979,-0.002779321007691987,-0.009151216919670968,-0.0012754283381770648,-0.0019510303295410258,0.9849934726531753,1.0698017925155205,0.9989308006972372,1.0702556994788985,,
44,-0.5116156693681,0.0873468761705197,0.243703099784972,0.196856553504964,0.444728324785099,0.917279813688498,53.8214608324292,0.175061804573213,0.454155650061023,0.741158703505608,0.554549890467215,0.0952029995290275,0.101653553975936,0.11016332465472,0.119354882835899,0.128896914219319,0.138878401847975,0.148827895227172,0.157022027709952,39.5,64.5,14.5,0.502118579844441,0.762138671443513,,0.616139592584676,0.599667836758653,,0.9837996517809633,0.167465519162306,0.5995261598410477,0.039873627716678794,-0.003377693036816981,-0.0028170022674590123,-0.009272784222524033,-0.0012915013617440518,-0.0019690846872029155,0.9853983760612468,1.0707867684676242,0.9991013272812213,1.071243041650755,,
45,-0.505040784638941,0.0872131484229353,0.24338284643616,0.196659850333283,0.44500286460332,0.919537379726847,53.8362362636514,0.174820190728851,0.453272285959297,0.741035191646438,0.554355232453564,0.0950900718478226,0.10156977848546,0.110111694362444,0.119329525234334,0.12889606546662,0.13892023616332,0.148921958311286,0.157160670128714,40.5,65.5,15.5,0.505574231707587,0.762958390728788,0.0379017399650132,0.619714805091211,0.603480962171973,0.603718307535883,0.9835192287529196,0.17056702243849742,0.6034809621719727,0.04067316123546527,-0.0034202812556029805,-0.002855350206881019,-0.009397531226726985,-0.0013081939712019652,-0.0019906617862039955,0.9858043568624423,1.0718137955701221,0.9991991712396456,1.0722682968640187,0.9948113378950448,1.0722614126077583
