year,scenario,share_25_39,share_40_59,share_60_79,share_80,average_age,price,price_index,births,fertility_rate,theta,average_age_bridge,young_homeownership_proxy,old_homeownership_proxy,young_housing_burden_proxy
2020,low_immigration,0.318865981332888,0.383868773685741,0.291250211022057,0.0060150339593141,49.5040238638905,0.6639564475044608,1.0,0.09126329844595112,0.22,0.4197088232833008,49.92830808287469,0.39899999999999997,0.7599999999999999,1.0
2021,low_immigration,0.318615071764913,0.380497815555189,0.294699279238067,0.0061878334418306,49.593985729983,0.6591917155310512,0.9952466013547444,0.09102269564381625,0.22,0.4230061406471709,50.006950748851175,0.39960572049092913,0.7600434516639301,1.0078640693835332
2022,low_immigration,0.318367541566906,0.377172247872283,0.298101905424053,0.0063583051367573,49.6827361570511,0.654459991492331,0.9905484929285238,0.09078533277769489,0.22,0.4262590582696934,50.084534437731264,0.40020754884988846,0.7600865969864654,1.0155276603420267
2023,low_immigration,0.318123319859017,0.373891163897355,0.301459019260572,0.0065264969830566,49.7702995239681,0.6497609009966254,0.9859047351838817,0.09055114438333826,0.22,0.4294684666404132,50.1610804456619,0.40080552474327363,0.7601294394916812,1.0107021432389485
2024,low_immigration,0.317882352261119,0.370653671681837,0.304771522473296,0.0066924535837486,49.8566992647039,0.645094022154808,0.9813143569362054,0.0903200694399472,0.22,0.4326352256121723,50.23660911920069,0.40139969408917053,0.7601719831341935,1.0059328147620608
2025,low_immigration,0.317644554421043,0.367458921124121,0.308040303896572,0.0068562205582632,49.9419586805004,0.6404590336605906,0.9767765007621123,0.09009204263445612,0.22,0.4357601888461952,50.31114110259017,0.40199009020138105,0.7602142309492612,1.0012187567437243
2026,low_immigration,0.316580213265747,0.368078518942014,0.308137188223776,0.0072040795684626,49.9855132778071,0.6434508198872209,0.9797031830644811,0.0898919654602751,0.22,0.4363201090231527,50.34231445916304,0.4016089694667304,0.7601869614685821,1.0041569538659365
2027,low_immigration,0.315524927261584,0.368692844174087,0.308233252601537,0.0075489759627912,50.0286972312417,0.6464319163933396,0.9826281304095521,0.08969359042712326,0.22,0.43687526661865783,50.373222591818106,0.40122932874948825,0.7601597873109399,1.00709718150815
2028,low_immigration,0.314478593114607,0.369301962280767,0.308328498002175,0.00789094660245,50.0715147176814,0.6494023622944951,0.9855513135411593,0.08949689841065572,0.22,0.43742571117697143,50.40386845191256,0.4008511622170384,0.7601327081424656,1.010039265727365
2029,low_immigration,0.313441104690573,0.369905927698373,0.308422937246679,0.0082300303643753,50.1139705321444,0.6523622022941709,0.9884727090395595,0.08930186905533657,0.22,0.43797150514636296,50.43425533896201,0.40047446332695436,0.7601057235781509,1.0129796556126078
2030,low_immigration,0.312412335336828,0.370504818118217,0.308516583548434,0.0085662629965207,50.1560694813388,0.6553115537390113,0.991392365882787,0.0891084787706041,0.22,0.43851271158993504,50.464386823968056,0.4000992162980737,0.760078832570424,1.015918400375681
2031,low_immigration,0.310963804974185,0.37320016018657,0.307046179478853,0.0087898553603923,50.163430933939,0.6624571261927485,0.9985018021089593,0.08893804590458206,0.22,0.437607860609193,50.4671475910208,0.3991905692329556,0.760013673543843,1.0231504868164227
2032,low_immigration,0.309525378438151,0.375876709434386,0.305586021831191,0.0090118902962728,50.170740964005,0.6695807995274663,1.0056401983854222,0.08876880227528444,0.22,0.4367093141489948,50.46988896799254,0.3982853972606106,0.7599487021591658,1.0304148818302477
2033,low_immigration,0.308096944422718,0.37853466138116,0.304136011939847,0.0092323822562748,50.1780002425068,0.6766828587278724,1.0128077366220263,0.08860073414896176,0.22,0.43581701311310195,50.472611370215745,0.3973836634857342,0.7598839159282221,1.037711777518014
2034,low_immigration,0.306678398547389,0.381174214582167,0.302696040129217,0.0094513467412267,50.1852092423707,0.68376359436661,1.0200046099677065,0.08843382948244477,0.22,0.434930888401291,50.475314903612436,0.39648533031359484,0.7598193123095864,1.0450383895699373
2035,low_immigration,0.305269634789146,0.383795555879553,0.301266007002827,0.009668802328473,50.1923687740729,0.6908232802525163,1.027231000125477,0.08826807522698753,0.22,0.4340508831797982,50.478000002264864,0.3955903622878493,0.759754888912536,1.0523949034384545
2036,low_immigration,0.304321352312548,0.386189646788926,0.299624044760655,0.0098649561378712,50.1991482738839,0.6965907923877239,1.0331726852845522,0.08819112808215147,0.22,0.4328918979617914,50.4677383919486,0.3948597238004393,0.7597022485207103,1.0584349623818463
2037,low_immigration,0.303376507994497,0.388575058575837,0.297988034578721,0.0100603988509443,50.2059031189322,0.7023470671847463,1.039137060997652,0.08811445998046037,0.22,0.4317371138875242,50.45751396662449,0.3941309769952524,0.7596497028304442,1.0645105538143653
2038,low_immigration,0.302435082222799,0.390951839451784,0.296357943481029,0.0102551348443875,50.2126335837627,0.7080922359600663,1.0451242610629412,0.0880380692588639,0.22,0.43058650815945504,50.44732654347539,0.39340410545460236,0.7595972506891723,1.0706219092904825
2039,low_immigration,0.301497058056274,0.393320033797623,0.294733740373827,0.0104491677722763,50.2193397672638,0.7138264244422317,1.051134415774848,0.08796195463124955,0.22,0.42944005862305185,50.43717590854618,0.3926790934732065,0.7595448909945494,1.0767566064235243
2040,low_immigration,0.300562411884276,0.395679682888375,0.293115405613411,0.0106424996139379,50.2260219382537,0.7195497555658221,1.057167654734904,0.08788611317340135,0.22,0.42829775292197264,50.42706214251849,0.39195592570369914,0.7594926226689741,1.082914777471837
2041,low_immigration,0.299615108776062,0.396881253423214,0.292839527628303,0.0106641101724227,50.2402229264965,0.7234893450513482,1.0613406759098747,0.08774379286901042,0.22,0.42821100770424386,50.43878150924395,0.391458416621524,0.7594566398541214,1.0871672915252928
