state_fips,year,first_births_total,n_counties_with_fertility,mean_age_first_birth,share_first_birth_30_plus,female_pop_15_44,native_female_pop_15_44,foreign_born_female_pop_15_44,net_migration_rate,international_migration_rate,n_counties_with_population,foreign_born_share_15_44,first_birth_rate_15_44,permits_total_pc,real_rent_index,housing_stock_growth,housing_demand_shifter,n_metros_housing,unemployment_rate,n_metros_controls
01,2007,27223,12,23.747088856151045,0.15027725515189364,,,,,,,,,,0.22532827181818182,-0.05222241666666667,-0.05222241666666667,11.0,0.02749568181818182,11.0
01,2008,26879,12,23.740485266267346,0.14632250172997507,,,,,,,,,,0.22433719727272727,-0.009788566666666667,-0.009788566666666667,11.0,0.028862173636363633,11.0
01,2009,26334,12,23.7412279576593,0.14627497911445278,,,,,,,,,,0.23108594272727273,0.06342685666666667,0.06342685666666667,11.0,0.04464831181818182,11.0
01,2010,24800,12,23.976653122298387,0.1550804731451613,872578.0,829483.1403103533,43094.85968964671,0.00047107534883720933,0.0001793825581395349,43.0,0.04938797412912853,28.421527932173397,,0.2529062381818182,-0.0009432233333333331,-0.0009432233333333331,11.0,0.045580844545454545,11.0
01,2011,24515,12,24.15998384344279,0.1639403946971242,874986.0,829958.6992448629,45027.30075513711,-0.0005795379069767442,0.0007084232558139535,43.0,0.05146059566111585,28.017591138601073,,0.26085779545454546,0.1766473066666667,0.1766473066666667,11.0,0.045133465454545454,11.0
01,2012,23988,12,24.276200515007506,0.1676670207186927,876023.0,830107.2701523273,45915.729847672716,0.0006202309302325581,0.0009244088372093024,43.0,0.05241384055860716,27.382842687920295,,,,,,,
01,2013,23482,12,24.489353701303127,0.17387777365641768,877340.0,831410.3485172204,45929.65148277963,0.00011337069767441865,0.0007864406976744186,43.0,0.0523510286579657,26.764994186974263,,,,,,,
01,2014,24141,13,24.72896731096475,0.18648754794747524,878841.0,834235.0,44606.0,-0.000547155581395349,0.0005735358139534884,43.0,0.050755483642661185,27.469132641740657,,,,,,,
01,2015,23031,13,24.84896434371065,0.19252334527376147,879349.0,835977.0,43372.0,4.309023255813948e-05,0.0007525893023255815,43.0,0.04932285133661379,26.19096627163959,,,,,,,
01,2016,22324,13,24.94561891327719,0.19584305272352626,877546.0,834772.0,42774.0,-0.001117800465116279,0.0009494220930232558,43.0,0.048742743970116666,25.439122279629785,,,,,,,
01,2017,22290,13,25.071713632032303,0.20210868205473304,876253.0,833943.0,42310.0,-0.0003462018604651161,0.0004517711627906977,43.0,0.04828514139181264,25.437858700626418,,,,,,,
01,2018,21900,13,25.12707751986302,0.19990869397260275,875793.0,833881.0,41912.0,0.0005208272093023255,0.0004479667441860465,43.0,0.047856057310346166,25.005908930534954,,,,,,,
01,2019,21530,13,25.063028493683234,0.20032514156990247,,,,,,,,,,,,,,,
01,2020,21439,13,25.2383741646532,0.20840542772517373,,,,,,,,,,,,,,,
01,2021,21759,13,25.292522590146607,0.20814344570062962,,,,,,,,,,,,,,,
01,2022,21840,13,25.501671415979853,0.22010052532051283,,,,,,,,,,,,,,,
01,2023,22156,13,25.568875172729737,0.22490520906300776,,,,,,,,,,,,,,,
01,2024,21988,13,25.66252060032745,0.2264415669456067,,,,,,,,,,,,,,,
02,2007,4356,2,24.473140537190083,0.17860452846648303,,,,,,,,,,,,,,,
02,2008,4306,2,24.547840590803528,0.18927065768694845,,,,,,,,,,,,,,,
02,2009,4258,2,24.64279029426961,0.1949272451855331,,,,,,,,,,,,,,,
02,2010,4346,2,24.760354485043717,0.19719260469397146,108829.0,99434.1477217858,9394.852278214195,0.00279284,0.000464484,5.0,0.0863267353206792,39.9342087127512,,,,,,,
02,2011,4458,2,24.977344221175414,0.19739797846567966,109607.0,100185.70696917897,9421.293030821029,0.0025190119999999993,0.001716802,5.0,0.08595521299571221,40.67258478016915,,,,,,,
02,2012,4187,2,25.198352320515884,0.21686163959875807,110730.0,101159.9675990848,9570.032400915195,0.0037254999999999996,0.0031156000000000005,5.0,0.08642673531035126,37.812697552605435,,,,,,,
02,2013,4148,2,25.59233370057859,0.24228552266152364,111687.0,101798.95536122058,9888.044638779422,0.00012336200000000012,0.003580108,5.0,0.08853353245032476,37.139505940709306,,,,,,,
02,2014,4139,2,25.66936461633245,0.24377853394539745,112524.0,102371.0,10153.0,-0.008357326,0.001415274,5.0,0.09022963989904376,36.78326401478795,,,,,,,
02,2015,4129,2,25.85141678057641,0.25793186364737225,112904.0,101938.0,10966.0,-0.0039885039999999995,0.00293351,5.0,0.09712676255934245,36.570892085311414,,,,,,,
02,2016,3895,2,25.942490672143776,0.26264438433889603,113224.0,102289.0,10935.0,-0.0014085840000000003,0.002987136,5.0,0.09657846392990885,34.40083374549565,,,,,,,
02,2017,3631,2,26.226384353070777,0.274029301019003,112736.0,101495.0,11241.0,-0.007561832,0.003306232,5.0,0.09971082883905762,32.20799034913426,,,,,,,
02,2018,3509,2,26.305499952978057,0.2824165018523796,112271.0,100908.0,11363.0,-0.007796214,0.003070176,5.0,0.10121046396665212,31.254731854174274,,,,,,,
02,2019,3341,2,26.43295396468123,0.288835402274768,,,,,,,,,,,,,,,
02,2020,3258,2,26.461632488950276,0.28606536464088395,,,,,,,,,,,,,,,
02,2021,3264,2,26.601715483455884,0.3060659926470588,,,,,,,,,,,,,,,
02,2022,3323,2,26.62819755070719,0.3051458696960578,,,,,,,,,,,,,,,
02,2023,3122,2,26.81950660345932,0.31934678731582317,,,,,,,,,,,,,,,
02,2024,3098,2,27.00548784570691,0.32892193124596514,,,,,,,,,,,,,,,
04,2007,37672,9,24.03587546894245,0.18082397544595455,,,,,,,,,0.03698597,0.23503500666666668,0.01493673,0.01493673,3.0,0.023967516666666664,3.0
04,2008,36219,9,24.214817937022,0.19047995477511803,,,,,,,,,0.01916021,0.26455892,0.02899721,0.02899721,3.0,0.02611416,3.0
04,2009,33978,9,24.301989401141917,0.19050536732591675,,,,,,,,,0.013221575,0.27182779333333335,0.03349294,0.03349294,3.0,0.03822121666666667,3.0
04,2010,32059,9,24.558501663526624,0.20303207423812344,1234792.0,991875.7699082976,242916.23009170243,0.0008407724999999999,0.00023012166666666666,12.0,0.19672643659150887,25.96307718222988,0.0113926,0.28001201000000003,-0.0790556,-0.0790556,3.0,0.049781636666666663,3.0
04,2011,31477,9,24.886981083775453,0.21746042043396765,1243981.0,1006516.9703377881,237464.02966221186,0.0006488541666666669,0.0015143650000000002,12.0,0.19089039917990056,25.303441129727865,0.010482695,0.3145305333333333,0.1046938,0.1046938,3.0,0.0462512,3.0
04,2012,31825,9,24.924839282702276,0.2194818187588374,1249942.0,1020487.510752241,229454.48924775902,-0.0019186399999999999,0.0015024383333333332,12.0,0.1835721091440715,25.461181398816905,,,,,,,
04,2013,30889,9,25.08933622435171,0.22486976263394734,1256756.0,1032067.4539209908,224688.54607900928,-0.0016748849999999999,0.0017959991666666667,12.0,0.1787845421696887,24.578358885893522,,,,,,,
04,2014,31012,10,25.35291187988521,0.24110012298465108,1268640.0,1043060.0,225580.0,0.0029539166666666668,0.0022219933333333334,12.0,0.177812460587716,24.445075040988776,,,,,,,
04,2015,30244,10,25.541826572543314,0.24937166680994574,1278934.0,1054830.0,224104.0,0.002351073333333333,0.002565690833333333,12.0,0.17522718138699886,23.647819199427023,,,,,,,
04,2016,29497,10,25.658338192561956,0.2533815519205343,1287309.0,1066829.0,220480.0,0.005940262500000001,0.0018388058333333333,12.0,0.1712720100612984,22.913690496998,,,,,,,
04,2017,28895,10,25.804516029728322,0.25724150551998615,1300635.0,1081334.0,219301.0,0.005975894999999999,0.0013585175,12.0,0.16861071707281444,22.216071380517977,,,,,,,
04,2018,28625,10,25.96864637593013,0.2673538997729258,1324853.0,1104294.0,220559.0,0.011349803333333333,0.0013463833333333334,12.0,0.16647809228646498,21.606170646856672,,,,,,,
