a_price,distance,totalvote,debtstock,avg_birth_rate,mass_error,share_child_0,share_child_1,share_child_2,share_child_3,share_parity_0,share_parity_1,share_parity_2,share_parity_3plus,share_home_any_50,mean_home_children_50
1.5,62.8133379390852,0.0333737070994515,7.91845676293867,0.655462838515147,2.44249065417534e-15,0.418569334509742,0.262949416236196,0.215245363347758,0.103235885906304,0.0703943694846737,0.166057884938038,0.348711735631905,0.414836009945384,0.872287107270794,1.78499117493131
1.75,75.2028411123941,0.0201607473615536,8.66961334426031,0.597710229099888,6.66133814775094e-16,0.478369792626494,0.258096666442424,0.184360946385148,0.0791725945459332,0.133577841100662,0.217942057275854,0.333210004209385,0.315270097414099,0.795112740174486,1.53439474651595
2,79.4810003854513,-0.0376417497401953,8.90726165850655,0.529014660128262,1.33226762955019e-15,0.54947562937983,0.24299572851372,0.149692110433251,0.0578365316731986,0.223715646656335,0.255602512782425,0.292729382106203,0.227952458455037,0.695708483372948,1.26490888045426
2.25,74.8713757341006,-0.0367675362552887,8.64500957558013,0.450613411619142,2.44249065417534e-15,0.627790480602566,0.217987284247228,0.114448825384176,0.0397734097660303,0.335495461331554,0.27133719085943,0.238097022539369,0.155070325269646,0.58122693832019,0.994514026558336
2.5,69.1141047207855,-0.0355444261467473,8.30588731549949,0.364748214544461,1.55431223447522e-15,0.70899852816073,0.18481968215349,0.0811328307668968,0.0250489589188828,0.460292714770487,0.264236287928018,0.178865350948828,0.096605646352667,0.460322767956993,0.738228247641677
2.75,62.8294792841115,-0.0253037112927613,7.92246498910489,0.277231779898699,1.11022302462516e-15,0.78725664802812,0.146542291398549,0.0522243542184484,0.0139767063548832,0.587215688182144,0.237074621337678,0.122365718625181,0.0533439718549968,0.342921428659882,0.512169911150369
3,56.0517492203266,-0.00815123990261516,7.48632786812945,0.197749834782627,1.99840144432528e-15,0.854632526195165,0.108331829342544,0.0302357230764598,0.00679992138583175,0.702712631475065,0.196125412132916,0.0754530265308702,0.0257089298611487,0.240538285104025,0.333135750726356
3.25,47.7533789049335,-0.00173378337214999,6.91036021524604,0.134422251721448,2.44249065417534e-15,0.9054148446435,0.0756755156155714,0.0159781927188031,0.00293144702212579,0.795655364262428,0.151029388208337,0.0423231970262248,0.0109920505030095,0.161362232299247,0.207687435981242
3.5,43.8419497521468,-0.00186899668028066,6.62129899923631,0.0889742923375781,1.77635683940025e-15,0.939780011763792,0.0511154701090135,0.00794293921813556,0.00116157890905895,0.863215053014005,0.110321563062201,0.0221400396351234,0.00432334428866988,0.105819906778148,0.127716966967175
