seed_album_id,artist_name,album_title,market_code,country_name,source_name,source_url,chart_name,chart_type,observation_date,entry_date,peak_position,weeks_on_chart,top10_flag,no1_flag,certification_level,certification_date,hit_year,hit_weight,manual_notes
rammstein_sehnsucht_1997,Rammstein,Sehnsucht,USA,United States,RIAA,https://www.riaa.com/gold-platinum/?tab_active=default-award&ar=Rammstein&ti=Sehnsucht,RIAA Gold & Platinum,albums,1999-07-01,,,,0,0,gold_or_higher,1999-07-01,1999,,"Exact artist-title album certification match recovered from the public RIAA search table. This supplement uses the certification date as the event timing and does not separately parse the exact award tier beyond gold-or-higher certification."
metallica_load_1996,Metallica,Load,USA,United States,RIAA,https://www.riaa.com/gold-platinum/?tab_active=default-award&ar=Metallica&ti=Load,RIAA Gold & Platinum,albums,2003-06-09,,,,0,0,gold_or_higher,2003-06-09,2003,,"Exact artist-title album certification match recovered from the public RIAA search table. This supplement uses the certification date as the event timing and does not separately parse the exact award tier beyond gold-or-higher certification."
pantera_the_great_southern_trendkill_1996,Pantera,The Great Southern Trendkill,USA,United States,RIAA,https://www.riaa.com/gold-platinum/?tab_active=default-award&ar=Pantera&ti=The+Great+Southern+Trendkill,RIAA Gold & Platinum,albums,2004-08-17,,,,0,0,gold_or_higher,2004-08-17,2004,,"Exact artist-title album certification match recovered from the public RIAA search table. This supplement uses the certification date as the event timing and does not separately parse the exact award tier beyond gold-or-higher certification."
sepultura_roots_1996,Sepultura,Roots,USA,United States,RIAA,https://www.riaa.com/gold-platinum/?tab_active=default-award&ar=Sepultura&ti=Roots,RIAA Gold & Platinum,albums,2005-11-16,,,,0,0,gold_or_higher,2005-11-16,2005,,"Exact artist-title album certification match recovered from the public RIAA search table. This supplement uses the certification date as the event timing and does not separately parse the exact award tier beyond gold-or-higher certification."
metallica_death_magnetic_2008,Metallica,Death Magnetic,USA,United States,RIAA,https://www.riaa.com/gold-platinum/?tab_active=default-award&ar=Metallica&ti=Death+Magnetic,RIAA Gold & Platinum,albums,2010-06-28,,,,0,0,gold_or_higher,2010-06-28,2010,,"Exact artist-title album certification match recovered from the public RIAA search table. This supplement uses the certification date as the event timing and does not separately parse the exact award tier beyond gold-or-higher certification."
slipknot_all_hope_is_gone_2008,Slipknot,All Hope Is Gone,USA,United States,RIAA,https://www.riaa.com/gold-platinum/?tab_active=default-award&ar=Slipknot&ti=All+Hope+Is+Gone,RIAA Gold & Platinum,albums,2010-08-12,,,,0,0,gold_or_higher,2010-08-12,2010,,"Exact artist-title album certification match recovered from the public RIAA search table. This supplement uses the certification date as the event timing and does not separately parse the exact award tier beyond gold-or-higher certification."
lamb_of_god_ashes_of_the_wake_2004,Lamb of God,Ashes of the Wake,USA,United States,RIAA,https://www.riaa.com/gold-platinum/?tab_active=default-award&ar=Lamb+of+God&ti=Ashes+of+the+Wake,RIAA Gold & Platinum,albums,2016-02-18,,,,0,0,gold_or_higher,2016-02-18,2016,,"Exact artist-title album certification match recovered from the public RIAA search table. This supplement uses the certification date as the event timing and does not separately parse the exact award tier beyond gold-or-higher certification."
disturbed_immortalized_2015,Disturbed,Immortalized,USA,United States,RIAA,https://www.riaa.com/gold-platinum/?tab_active=default-award&ar=Disturbed&ti=Immortalized,RIAA Gold & Platinum,albums,2025-03-06,,,,0,0,gold_or_higher,2025-03-06,2025,,"Exact artist-title album certification match recovered from the public RIAA search table. This supplement uses the certification date as the event timing and does not separately parse the exact award tier beyond gold-or-higher certification."
