year,us_tea_raw_n,us_tea_weight_sum,teayymot1yes,teayymot2yes,teayymot3yes,teayymot4yes,jobs_only_share,jobs_and_income_share,income_only_share,neither_jobs_nor_income_share
2019,475,488.08345111168006,0.6578543079205569,0.6833060162717692,0.30631420931379744,0.4088956699598023,0.11357505468920552,0.2953206152705968,0.38798540100117285,0.2031189290390246
2020,287,286.31897129939796,0.6813573590317148,0.6467815659369616,0.2896730931536936,0.4962755093147791,0.17589753680049044,0.32037797251428857,0.3264035934226723,0.1773208972625473
2021,276,292.41909456628605,0.7147342570350267,0.733532476927226,0.41242314271871705,0.4571690903533169,0.07641924107677454,0.38074984927654226,0.3527826276506828,0.19004828199600027
