k,status,iterations_completed,converged_political,political_target,price_update_mode,max_abs_vote,mean_vote,max_abs_gap,residual_norm,price_min,price_max,path_span,housing_anchor_min,housing_anchor_max,max_abs_political_step,warm_start_source,elapsed_seconds
1,ok,1,0,equal_weight_vote,joint_housing_political,0.970803997816276,-0.970803997816276,0,0,1.99064986850783,1.99064986850783,0,2.00033601210982,2.00033601210982,0.00968614360198972,anchor_prefix,27.8184777
2,ok,1,0,equal_weight_vote,joint_housing_political,0.970803997816276,-0.970152806722906,0.0891627144802727,0.0436075975507099,1.99563494443002,1.99777205664557,0.00213711221554891,2.00533228592552,2.00749285553182,0.00972079888625332,k_1_political_final_path_plus_transition_re_no_politics_results.final_price_path_tail,103.7735994
3,ok,1,0,equal_weight_vote,joint_housing_political,0.970803997816276,-0.969553778483603,0.167700641333923,0.0915546887474706,1.99089163725126,1.99106318172497,0.000171544473714924,2.00057895725639,2.00072684462901,0.0096873200051355,k_2_political_final_path_plus_transition_re_no_politics_results.final_price_path_tail,136.2121882
4,ok,1,0,equal_weight_vote,joint_housing_political,0.970803997816276,-0.969317758744674,0.167700641333923,0.116890482706245,1.99033732030451,1.99122260014507,0.000885279840553199,2,2.00088703678943,0.00968754196312216,k_3_political_final_path_plus_transition_re_no_politics_results.final_price_path_tail,246.9743947
5,ok,1,0,equal_weight_vote,joint_housing_political,0.970803997816276,-0.969600920206592,0.167700641333923,0.116920001449196,1.99031618436268,1.99123459320385,0.000918408841162455,2,2.00089908805675,0.00968772926555794,k_4_political_final_path_plus_transition_re_no_politics_results.final_price_path_tail,291.8539673
6,ok,1,0,equal_weight_vote,joint_housing_political,0.970803997816276,-0.969709640162794,0.167700641333923,0.118439576873735,1.99031618436268,1.99123979196028,0.00092360759759802,2,2.00090431204545,0.00968775648138842,k_5_political_final_path_plus_transition_re_no_politics_results.final_price_path_tail,341.5461408
7,ok,1,0,equal_weight_vote,joint_housing_political,0.971389601221917,-0.969949634599812,0.167700641333923,0.120122153521365,1.99030965578633,1.99124225924152,0.00093260345518309,2,2.00090679130168,0.00969034421366666,k_6_political_final_path_plus_transition_re_no_politics_results.final_price_path_tail,394.8530192
8,ok,1,0,equal_weight_vote,joint_housing_political,0.972152098235944,-0.970224942554328,0.167700641333923,0.129007386127158,1.99030206777495,1.99123835232151,0.000936284546562138,2,2.00090286541936,0.00969793222504967,k_7_political_final_path_plus_transition_re_no_politics_results.final_price_path_tail,444.8861583
9,ok,1,0,equal_weight_vote,joint_housing_political,0.972152098235944,-0.970326671229715,0.167700641333923,0.129507896682276,1.99030206777495,1.99123238290345,0.000930315128499837,2,2.00089686702862,0.00969793222504967,k_8_political_final_path_plus_transition_re_no_politics_results.final_price_path_tail,495.297041
