iteration,guess_source,political_target,price_update_mode,political_update_rule,max_abs_vote,mean_vote,max_abs_gap,residual_norm,price_min,price_max,housing_anchor_min,housing_anchor_max,max_abs_political_step
1,transition_re_no_politics_results.final_price_path_prefix,equal_weight_vote,political_only,diagonal_secant_fallback,0.970803997816276,-0.969317758744674,0.167700641333923,0.116890482706245,1.96162848226535,1.96207974199607,2,2.00044992543386,0.0384640649163668
2,transition_re_no_politics_results.final_price_path_prefix,equal_weight_vote,political_only,diagonal_secant,0.964747855616322,-0.962977382165355,0.131148417687563,0.104031629838656,1.92316517869152,1.92360759019223,1.96162848226535,1.96207974199607,0.0384721518038447
3,transition_re_no_politics_results.final_price_path_prefix,equal_weight_vote,political_only,diagonal_secant,0.867081638611922,-0.862278420501434,0.049624420303316,0.0262844402370179,1.88545605754071,1.8858897943061,1.92316517869152,1.92360759019223,0.0377177958861221
4,transition_re_no_politics_results.final_price_path_prefix,equal_weight_vote,political_only,diagonal_secant,0.817905380578608,-0.8131432254097,0.0508077935481968,0.0312935980001457,1.84848633092226,1.8489115630452,1.88545605754071,1.8858897943061,0.0369782312609042
