case_name,period_index,calendar_year,final_price,implied_price,policy_reference_price_used,Hdemand,Hsupply,excess_demand,rent_share
steady_state_fixed_price_1.85,1,2010,2.00033601210982,2.00033601210982,1.85,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_fixed_price_1.85,2,2011,5,24.3674687784672,1.85,0.467971955727053,0.0960239161444182,0.371948039582634,0.945834435729461
steady_state_fixed_price_1.85,3,2012,5,32.0298036284079,1.85,0.615125435547285,0.0960239161444182,0.519101519402866,0.929434484704507
steady_state_fixed_price_1.85,4,2013,5,40.7282329974339,1.85,0.782176886011184,0.0960239161444182,0.686152969866766,0.910401422484695
steady_state_fixed_price_1.85,5,2014,5,48.5605376225759,1.85,0.932594598519618,0.0960239161444182,0.8365706823752,0.893650096508043
steady_state_fixed_price_1.85,6,2015,5,56.3017193179898,1.85,1.08126231491545,0.0960239161444182,0.985238398771027,0.877004025226979
steady_state_fixed_price_1.85,7,2016,5,63.3774597925877,1.85,1.21715037691394,0.0960239161444182,1.12112646076952,0.861865947598893
steady_state_fixed_price_1.85,8,2017,5,64.906411863074,1.85,1.24651356999498,0.0960239161444182,1.15048965385056,0.860097126487386
steady_state_fixed_price_1.85,9,2018,5,63.6962700784002,1.85,1.2232730593441,0.0960239161444182,1.12724914319969,0.863144032041221
steady_state_fixed_price_1.90,1,2010,2.00033601210982,2.00033601210982,1.9,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_fixed_price_1.90,2,2011,5,10.0727713988758,1.9,0.193445391229509,0.0960239161444182,0.0974214750850907,0.976626643937223
steady_state_fixed_price_1.90,3,2012,5,14.1233987325626,1.9,0.271236811113955,0.0960239161444182,0.175212894969537,0.967449582360742
steady_state_fixed_price_1.90,4,2013,5,20.3679445881917,1.9,0.391161960634134,0.0960239161444182,0.295138044489716,0.95306874555396
steady_state_fixed_price_1.90,5,2014,5,25.808102391267,1.9,0.495639011973117,0.0960239161444182,0.399615095828698,0.940512284418846
steady_state_fixed_price_1.90,6,2015,5,30.7594878049266,1.9,0.590729295525105,0.0960239161444182,0.494705379380687,0.928999577497094
steady_state_fixed_price_1.90,7,2016,5,35.9601560677401,1.9,0.690607002157773,0.0960239161444182,0.594583086013355,0.91688346191384
steady_state_fixed_price_1.90,8,2017,5,40.1455114505322,1.9,0.770985845020137,0.0960239161444182,0.674961928875719,0.90728919322015
steady_state_fixed_price_1.90,9,2018,5,40.3166817560698,1.9,0.774273133633208,0.0960239161444182,0.67824921748879,0.906851738390309
steady_state_fixed_price_1.95,1,2010,2.00033601210982,2.00033601210982,1.95,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_fixed_price_1.95,2,2011,2.55164236429272,2.59137525380135,1.95,0.0497668000139482,0.0490037384838779,0.000763061530070386,0.983264108199218
steady_state_fixed_price_1.95,3,2012,3.87527895918308,4.05330901198331,1.95,0.0778429209348199,0.0744238923625649,0.00341902857225508,0.979058309824164
steady_state_fixed_price_1.95,4,2013,4.91791187285765,5.24277570362876,1.95,0.100686370905848,0.0944474314569843,0.00623893944886404,0.976004696009082
steady_state_fixed_price_1.95,5,2014,5,6.05809036405947,1.95,0.116344312222751,0.0960239161444182,0.0203203960783326,0.974409525950497
steady_state_fixed_price_1.95,6,2015,5,6.9828323590932,1.95,0.134103781780019,0.0960239161444182,0.0380798656356009,0.971394543241364
steady_state_fixed_price_1.95,7,2016,5,7.44748800052042,1.95,0.143027392649707,0.0960239161444182,0.0470034765052885,0.970586473352196
steady_state_fixed_price_1.95,8,2017,5,8.07651205375659,1.95,0.155107663237861,0.0960239161444182,0.059083747093443,0.96910393994935
steady_state_fixed_price_1.95,9,2018,5,8.33986934360225,1.95,0.160165382901093,0.0960239161444182,0.0641414667566751,0.967964960277323
steady_state_fixed_price_2.00,1,2010,2.00033601210982,2.00033601210982,2,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_fixed_price_2.00,2,2011,2.08956545466459,2.08956545466921,2,0.0401296515994858,0.0401296515993972,8.86166140467992e-14,0.984750807814768
steady_state_fixed_price_2.00,3,2012,2.16815056664465,2.16815056676778,2,0.0416388616423565,0.0416388616399917,2.36487912586014e-12,0.984177866726737
steady_state_fixed_price_2.00,4,2013,2.1507540931034,2.15075409463941,2,0.0413047661661837,0.0413047661366851,2.94986396420782e-11,0.984304849847499
steady_state_fixed_price_2.00,5,2014,2.00526115933193,2.00526116005308,2,0.0385106058961192,0.0385106058822696,1.38496158985646e-11,0.985366787766941
steady_state_fixed_price_2.00,6,2015,2.03818293350372,2.03818300700314,2,0.0391428628302895,0.039142861418749,1.41154041927161e-09,0.985126620589399
steady_state_fixed_price_2.00,7,2016,1.96032991548153,1.96032887228097,2,0.037647691049478,0.0376477110839186,-2.00344406550701e-08,0.985694801206391
steady_state_fixed_price_2.00,8,2017,1.90811521146529,1.90808199632927,2,0.0366443011224392,0.0366449390119264,-6.37889487238585e-07,0.986076049691303
steady_state_fixed_price_2.00,9,2018,1.97749491329228,1.97737898809366,2,0.037975134827688,0.0379773611459983,-2.22631831025416e-06,0.985570250868445
steady_state_fixed_price_2.05,1,2010,2.00033601210982,2.00033601210982,2.05,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_fixed_price_2.05,2,2011,2.01700609803341,2.01150031089254,2.05,0.0386304274355233,0.038736164884068,-0.000105737448544668,0.985320524581813
steady_state_fixed_price_2.05,3,2012,1.64486326557638,1.61009633753598,2.05,0.030921551139998,0.0315892424565481,-0.000667691316550083,0.988249886887118
steady_state_fixed_price_2.05,4,2013,1.26291814338382,1.2119717253283,2.05,0.0232756542644661,0.0242540691795105,-0.000978414915044346,0.991155316823059
steady_state_fixed_price_2.05,5,2014,0.889431442545533,0.835230159186611,2.05,0.0160404141534049,0.0170813380510402,-0.00104092389763539,0.993904696159935
steady_state_fixed_price_2.05,6,2015,0.46966939623739,0.419266764564955,2.05,0.00805192732854536,0.00901989894397973,-0.000967971615434366,0.996940308315744
steady_state_fixed_price_2.05,7,2016,0.4,6.59962178349041e-06,2.05,1.26744305744552e-07,0.00768191329155346,-0.00768178654724772,0.999999982162521
steady_state_fixed_price_2.05,8,2017,0.4,4.4921769718384e-06,2.05,8.62712849699395e-08,0.00768191329155346,-0.00768182702026849,0.999999987890463
steady_state_fixed_price_2.05,9,2018,0.4,1.91818358564179e-06,2.05,3.68382999554533e-08,0.00768191329155346,-0.0076818764532535,0.999999995025345
steady_state_fixed_price_2.10,1,2010,2.00033601210982,2.00033601210982,2.1,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_fixed_price_2.10,2,2011,0.4,1.90749342582969e-05,2.1,3.66329977535799e-07,0.00768191329155346,-0.00768154696157592,0.999999947701829
steady_state_fixed_price_2.10,3,2012,0.4,1.67390064395461e-05,2.1,3.2146899013837e-07,0.00768191329155346,-0.00768159182256332,0.999999954162034
steady_state_fixed_price_2.10,4,2013,0.4,1.43422159073896e-05,2.1,2.75439147523264e-07,0.00768191329155346,-0.00768163785240594,0.999999960776612
steady_state_fixed_price_2.10,5,2014,0.4,1.17108034684966e-05,2.1,2.24903442048535e-07,0.00768191329155346,-0.00768168838811141,0.999999968074852
steady_state_fixed_price_2.10,6,2015,0.4,8.65671599088089e-06,2.1,1.66250354078878e-07,0.00768191329155346,-0.00768174704119938,0.99999997642656
steady_state_fixed_price_2.10,7,2016,0.4,6.06509113203194e-06,2.1,1.16478760454098e-07,0.00768191329155346,-0.00768179681279301,0.999999983585024
steady_state_fixed_price_2.10,8,2017,0.4,3.69585282208842e-06,2.1,7.09780522940661e-08,0.00768191329155346,-0.00768184231350117,0.999999990124514
steady_state_fixed_price_2.10,9,2018,0.4,1.05196709245499e-06,2.1,2.02027999745171e-08,0.00768191329155346,-0.00768189308875348,0.999999997428213
steady_state_fixed_price_2.15,1,2010,2.00033601210982,2.00033601210982,2.15,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_fixed_price_2.15,2,2011,0.4,1.86474186691533e-05,2.15,3.58119633319327e-07,0.00768191329155346,-0.00768155517192014,0.999999948742307
steady_state_fixed_price_2.15,3,2012,0.4,1.83098806504579e-05,2.15,3.51637288838776e-07,0.00768191329155346,-0.00768156165426462,0.999999949498301
steady_state_fixed_price_2.15,4,2013,0.4,1.59313040957939e-05,2.15,3.05957241713149e-07,0.00768191329155346,-0.00768160733431175,0.999999956062132
steady_state_fixed_price_2.15,5,2014,0.4,1.33480605837395e-05,2.15,2.56346610036723e-07,0.00768191329155346,-0.00768165694494342,0.999999963237082
steady_state_fixed_price_2.15,6,2015,0.4,1.05707925947884e-05,2.15,2.03009780340399e-07,0.00768191329155346,-0.00768171028177312,0.999999970912029
steady_state_fixed_price_2.15,7,2016,0.4,7.88862211503359e-06,2.15,1.51499277693798e-07,0.00768191329155346,-0.00768176179227577,0.999999978288814
steady_state_fixed_price_2.15,8,2017,0.4,5.41393241764225e-06,2.15,1.03973398496645e-07,0.00768191329155346,-0.00768180931815496,0.999999985086326
steady_state_fixed_price_2.15,9,2018,0.4,3.05065979462298e-06,2.15,5.85872600608051e-08,0.00768191329155346,-0.0076818547042934,0.999999991710371
