case_name,period_index,calendar_year,final_price,implied_price,policy_reference_price_used,Hdemand,Hsupply,excess_demand,rent_share
steady_state_fixed_price_1.99,1,2010,2.00033601210982,2.00033601210982,1.99,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_fixed_price_1.99,2,2011,2.08956940309042,2.0895697084752,1.99,0.0401297332929079,0.0401297274280594,5.86484850961799e-09,0.984750797466935
steady_state_fixed_price_1.99,3,2012,2.16869688608599,2.16873914547944,1.99,0.0416501651689269,0.0416493535864365,8.11582490434226e-07,0.984176434946704
steady_state_fixed_price_1.99,4,2013,2.15366968184966,2.15389534596881,1.99,0.0413650932170323,0.0413607593865415,4.33383049079639e-06,0.984297208190358
steady_state_fixed_price_1.99,5,2014,2.00833604548487,2.00857406094613,1.99,0.0385742294396289,0.0385696584042903,4.57103533856723e-06,0.985358728540881
steady_state_fixed_price_1.99,6,2015,2.04170790456988,2.04198086099652,1.99,0.0392157997929673,0.0392105577239629,5.24206900441582e-06,0.985117381659912
steady_state_fixed_price_1.99,7,2016,1.96378520133116,1.96405164908002,1.99,0.0377191861709132,0.0377140690996545,5.11707125862987e-06,0.985685744865537
steady_state_fixed_price_1.99,8,2017,1.91137616647956,1.91159533160675,1.99,0.0367117739648535,0.0367075649460946,4.20901875889529e-06,0.986067502836685
steady_state_fixed_price_1.99,9,2018,1.98054933004715,1.9806696436369,1.99,0.0380383311540769,0.0380360205576663,2.31059641059295e-06,0.985562245733071
steady_state_fixed_price_1.992,1,2010,2.00033601210982,2.00033601210982,1.992,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_fixed_price_1.992,2,2011,2.08956545466459,2.08956545466921,1.992,0.0401296515994858,0.0401296515993972,8.86166140467992e-14,0.984750807814768
steady_state_fixed_price_1.992,3,2012,2.168150789007,2.16815080632812,1.992,0.0416388662430609,0.0416388659104124,3.32648533718505e-10,0.984177866143981
steady_state_fixed_price_1.992,4,2013,2.15086250890848,2.15087089578677,1.992,0.0413070093068996,0.0413068482387202,1.61068179412027e-07,0.984304565485641
steady_state_fixed_price_1.992,5,2014,2.00537647922775,2.00538539931717,1.992,0.0385129918842545,0.0385128205758708,1.71308383735413e-07,0.985366485297895
steady_state_fixed_price_1.992,6,2015,2.03830756000725,2.03831727271423,1.992,0.0391454413741661,0.039145254843734,1.86530432079446e-07,0.985126293726294
steady_state_fixed_price_1.992,7,2016,1.96048122724139,1.96049188722174,1.992,0.0376508217160785,0.0376506169934667,2.04722611849006e-07,0.98569440436315
steady_state_fixed_price_1.992,8,2017,1.9082736080508,1.90825264122899,1.992,0.0366475783207474,0.0366479809840152,-4.02663267860814e-07,0.986075634284939
steady_state_fixed_price_1.992,9,2018,1.97764769619283,1.97754357839908,1.992,0.0379782957488253,0.0379802953084845,-1.99955965923815e-06,0.985569850217736
steady_state_fixed_price_1.994,1,2010,2.00033601210982,2.00033601210982,1.994,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_fixed_price_1.994,2,2011,2.08956545466459,2.08956545466921,1.994,0.0401296515994858,0.0401296515993972,8.86166140467992e-14,0.984750807814768
steady_state_fixed_price_1.994,3,2012,2.168150789007,2.16815080632812,1.994,0.0416388662430609,0.0416388659104124,3.32648533718505e-10,0.984177866143981
steady_state_fixed_price_1.994,4,2013,2.15086250753341,2.15087089430534,1.994,0.0413070092784492,0.0413068482123123,1.61066136886157e-07,0.98430456548873
steady_state_fixed_price_1.994,5,2014,2.00537647767614,2.00538539764555,1.994,0.0385129918521514,0.0385128205460725,1.71306078912414e-07,0.985366485301381
steady_state_fixed_price_1.994,6,2015,2.03830755847218,2.03831727106043,1.994,0.0391454413424052,0.0391452548142533,1.86528151840948e-07,0.985126293729742
steady_state_fixed_price_1.994,7,2016,1.96048122583339,1.96049188570483,1.994,0.0376508216869466,0.0376506169664263,2.04720520341484e-07,0.985694404366313
steady_state_fixed_price_1.994,8,2017,1.90827360679388,1.90825263987487,1.994,0.0366475782947418,0.0366479809598764,-4.02665134534297e-07,0.986075634287763
steady_state_fixed_price_1.994,9,2018,1.97764769478223,1.97754357687946,1.994,0.0379782957196412,0.0379802952813941,-1.99956175293836e-06,0.985569850220904
steady_state_fixed_price_2.003,1,2010,2.00033601210982,2.00033601210982,2.003,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_fixed_price_2.003,2,2011,2.01700372032732,2.01149775628197,2.003,0.0386303783747811,0.0387361192207381,-0.00010574084595702,0.985320531640156
steady_state_fixed_price_2.003,3,2012,1.6448676733143,1.61010098580796,2.003,0.0309216404090538,0.0315893271061993,-0.000667686697145488,0.988249876322151
steady_state_fixed_price_2.003,4,2013,1.26292347412388,1.21197723668506,2.003,0.0232757601088781,0.0242541715552177,-0.000978411446339627,0.991155303890509
steady_state_fixed_price_2.003,5,2014,0.889474074154027,0.835273289228145,2.003,0.0160412424565032,0.0170821567818401,-0.00104091432533692,0.993904576290713
steady_state_fixed_price_2.003,6,2015,0.469717913258604,0.419313424883699,2.003,0.00805282342985222,0.00902083070285507,-0.000968007273002848,0.996940179356079
steady_state_fixed_price_2.003,7,2016,0.4,6.2511501365758e-05,2.003,1.20051983304145e-06,0.00768191329155346,-0.00768071277172042,0.999999826643334
steady_state_fixed_price_2.003,8,2017,0.4,6.34858644982898e-05,2.003,1.21923226578793e-06,0.00768191329155346,-0.00768069405928767,0.999999824027348
steady_state_fixed_price_2.003,9,2018,0.4,6.10255872964863e-05,2.003,1.17198317544433e-06,0.00768191329155346,-0.00768074130837802,0.999999831017924
steady_state_fixed_price_2.004,1,2010,2.00033601210982,2.00033601210982,2.004,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_fixed_price_2.004,2,2011,2.01700377478539,2.01149781479179,2.004,0.0386303794984494,0.0387361202665934,-0.000105740768144034,0.985320531426659
steady_state_fixed_price_2.004,3,2012,1.64486959503936,1.61010301240353,2.004,0.0309216793293823,0.0315893640125126,-0.000667684683130276,0.988249868756889
steady_state_fixed_price_2.004,4,2013,1.26293305855779,1.21198714586432,2.004,0.0232759504125177,0.0242543556221934,-0.000978405209675674,0.991155267512333
steady_state_fixed_price_2.004,5,2014,0.889472755556882,0.835271955212052,2.004,0.0160412168370133,0.0170821314584677,-0.00104091462145446,0.993904557820808
steady_state_fixed_price_2.004,6,2015,0.469730049607213,0.419325096843521,2.004,0.00805304758731046,0.00902106377879929,-0.00096801619148883,0.996940112912338
steady_state_fixed_price_2.004,7,2016,0.4,7.24575168148022e-05,2.004,1.39153090373147e-06,0.00768191329155346,-0.00768052176064973,0.999999760487216
steady_state_fixed_price_2.004,8,2017,0.4,7.60036546965247e-05,2.004,1.45963371304968e-06,0.00768191329155346,-0.00768045365784041,0.999999746946577
steady_state_fixed_price_2.004,9,2018,0.4,7.82702221191976e-05,2.004,1.50316264907576e-06,0.00768191329155346,-0.00768041012890438,0.999999737666317
