case_name,period_index,calendar_year,final_price,implied_price,policy_reference_price_used,Hdemand,Hsupply,excess_demand,rent_share
steady_state_fixed_price_1.96,1,2010,2.00033601210982,2.00033601210982,1.96,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_fixed_price_1.96,2,2011,2.21208322047316,2.22185304464643,1.96,0.0426702060888698,0.0424825787334379,0.000187627355431916,0.984163299809178
steady_state_fixed_price_1.96,3,2012,2.56334034817867,2.59675126599038,1.96,0.0498700451626745,0.0492283957286225,0.000641649434051948,0.982603040427173
steady_state_fixed_price_1.96,4,2013,2.88871214244606,2.95537670025867,1.96,0.0567573688881612,0.0554770905063206,0.00128027838184058,0.981571467311782
steady_state_fixed_price_1.96,5,2014,2.9187073267464,3.00468424592496,1.96,0.0577043096142305,0.0560531415187192,0.0016511680955113,0.981838424452496
steady_state_fixed_price_1.96,6,2015,3.09309424468542,3.19450596579481,1.96,0.061349794596465,0.0594022044756911,0.00194759012077383,0.980610910026588
steady_state_fixed_price_1.96,7,2016,3.06658380509605,3.17456466020203,1.96,0.0609668261452547,0.0588930772300747,0.00207374891517993,0.980981790070271
steady_state_fixed_price_1.96,8,2017,3.12690758499298,3.24861459869089,1.96,0.0623889391620454,0.0600515823465422,0.00233735681550321,0.980849435968368
steady_state_fixed_price_1.96,9,2018,3.25758956863171,3.38561226685721,1.96,0.065019949682042,0.0625613015142446,0.00245864816779739,0.980018060330937
steady_state_fixed_price_1.965,1,2010,2.00033601210982,2.00033601210982,1.965,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_fixed_price_1.965,2,2011,2.15320695092883,2.15820913147762,1.965,0.041447938532625,0.0413518727395137,9.60657931113607e-05,0.984321481375445
steady_state_fixed_price_1.965,3,2012,2.28540035162269,2.2947285873413,1.965,0.0440697650890121,0.0438906183441281,0.00017914674488393,0.983348748832824
steady_state_fixed_price_1.965,4,2013,2.3609195666757,2.37800525571799,1.965,0.04566907545321,0.0453409484988367,0.00032812695437328,0.982997565175282
steady_state_fixed_price_1.965,5,2014,2.34113672926865,2.36934602937408,1.965,0.0455027768883454,0.0449610233947821,0.000541753493563335,0.983408276339473
steady_state_fixed_price_1.965,6,2015,2.51976703368634,2.56144451337424,1.965,0.0491919866321656,0.0483915796692333,0.000800406962932217,0.982174807216409
steady_state_fixed_price_1.965,7,2016,2.48385156091709,2.52974012890133,1.965,0.0485831108009583,0.047701830800137,0.000881280000821341,0.982575432268937
steady_state_fixed_price_1.965,8,2017,2.49414847887353,2.54630843641258,1.965,0.0489013015551812,0.047899580877416,0.00100172067776523,0.982585397920699
steady_state_fixed_price_1.965,9,2018,2.60923286332248,2.66562579233698,1.965,0.0511927655111529,0.0501097515337876,0.00108301397736526,0.981797426054004
