k,policy_reference_blend_weight,status,iterations_completed,converged,looks_stable,residual_norm,max_abs_gap,max_abs_update,price_min,price_max,path_span,policy_reference_price_first_used,policy_reference_price_last_used,warm_start_source,elapsed_seconds
1,0.1875,ok,1,1,1,0,0,0,2.00033601210982,2.00033601210982,0,2.00006300227059,2.00006300227059,anchor_prefix_transition_re_k_step_policy_bridge_steady_state_fixed_price_2_0_results.final_price_path,21.4967354
2,0.1875,ok,1,1,1,3.07657233022951e-11,6.42867981071049e-11,6.42863540178951e-12,2.00033601210982,2.08956545461135,0.0892294425015243,2.00006300227059,2.01679352273842,same_alpha_k_1,10.9191757
3,0.1875,ok,25,0,1,0.0180337084644697,0.0306902829280633,0.00344432122732341,1.71721997925101,2.08956545466505,0.37234547541404,2.00006300227059,1.94697874610956,same_alpha_k_2,258.8947782
4,0.1875,ok_after_retry,50,0,1,0.0109491514780998,0.0478246609460591,0.00528160100595176,1.68668645251007,4.34417609059602,2.65748963808595,2.00006300227059,2.43953301698675,same_alpha_k_3 -> retry_from_failed_endpoint,857.830105
5,0.1875,ok_retry_failed,50,0,0,1.95461569572553,0.343352443560741,2.75349516289936e-05,0.4,4.39175292920863,3.99175292920863,2.00006300227059,1.7,same_alpha_k_4 -> retry_from_failed_endpoint,706.9333328
