case_name,blend_weight,period_index,calendar_year,final_price,implied_price,policy_reference_price_used,Hdemand,Hsupply,excess_demand,rent_share
steady_state_blend_alpha_0_00,0,1,2010,2.00033601210982,2.00033601210982,2,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_blend_alpha_0_00,0,2,2011,2.08956545465597,2.08956545466921,2,0.0401296515994858,0.0401296515992316,2.5418556148793e-13,0.984750807814768
steady_state_blend_alpha_0_00,0,3,2012,2.16815056641462,2.16815056676778,2,0.0416388616423565,0.0416388616355741,6.78241490748022e-12,0.984177866726737
steady_state_blend_alpha_0_00,0,4,2013,2.15075409023418,2.15075409463941,2,0.0413047661661837,0.0413047660815824,8.46013467614704e-11,0.984304849847499
steady_state_blend_alpha_0_00,0,5,2014,2.00526115798483,2.00526116005308,2,0.0385106058961192,0.0385106058563989,3.97203103741361e-11,0.985366787766941
steady_state_blend_alpha_0_00,0,6,2015,2.03818279620886,2.03818300700314,2,0.0391428628302895,0.0391428587820312,4.04825830496724e-09,0.985126620589399
steady_state_blend_alpha_0_00,0,7,2016,1.96033186415245,1.96032887228097,2,0.037647691049478,0.0376477485077212,-5.74582432258386e-08,0.985694801206391
steady_state_blend_alpha_0_00,0,8,2017,1.90817725795784,1.90808199632927,2,0.0366443011224392,0.0366461306013659,-1.82947892675422e-06,0.986076049691303
steady_state_blend_alpha_0_00,0,9,2018,1.97771147652123,1.97737898809366,2,0.037975134827688,0.0379815201958657,-6.38536817766655e-06,0.985570250868445
steady_state_blend_alpha_0_01,0.01,1,2010,2.00033601210982,2.00033601210982,2.0000033601211,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_blend_alpha_0_01,0.01,2,2011,2.08956545466547,2.08956545466921,2.00089565454665,0.0401296515994858,0.040129651599414,7.17897963298242e-14,0.984750807814768
steady_state_blend_alpha_0_01,0.01,3,2012,2.16815056666804,2.16815056676778,2.00168150566668,0.0416388616423565,0.041638861640441,1.91554411221873e-12,0.984177866726737
steady_state_blend_alpha_0_01,0.01,4,2013,2.15075409339524,2.15075409463941,2.00150754093395,0.0413047661661837,0.0413047661422898,2.38938938079691e-11,0.984304849847499
steady_state_blend_alpha_0_01,0.01,5,2014,2.00526115946895,2.00526116005308,2.00005261159469,0.0385106058961192,0.038510605884901,1.12181861022798e-11,0.985366787766941
steady_state_blend_alpha_0_01,0.01,6,2015,2.03818294746861,2.03818300700314,2.00038182947469,0.0391428628302895,0.0391428616869417,1.14334774981018e-09,0.985126620589399
steady_state_blend_alpha_0_01,0.01,7,2016,1.96032971727338,1.96032887228097,1.99960329717273,0.037647691049478,0.0376477072773741,-1.62278961102214e-08,0.985694801206391
steady_state_blend_alpha_0_01,0.01,8,2017,1.90810890054496,1.90808199632927,1.99908108900545,0.0366443011224392,0.0366448178120694,-5.16689630206124e-07,0.986076049691303
steady_state_blend_alpha_0_01,0.01,9,2018,1.97747286891239,1.97737896291378,1.99977472868912,0.0379751343441139,0.0379769377884612,-1.80344434721341e-06,0.985570250941948
steady_state_blend_alpha_0_02,0.02,1,2010,2.00033601210982,2.00033601210982,2.0000067202422,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_blend_alpha_0_02,0.02,2,2011,2.08956545466844,2.08956545466921,2.00179130909337,0.0401296515994858,0.040129651599471,1.47659662275146e-14,0.984750807814768
steady_state_blend_alpha_0_02,0.02,3,2012,2.16815056674725,2.16815056676778,2.00336301133494,0.0416388616423565,0.0416388616419621,3.94392851710279e-13,0.984177866726737
steady_state_blend_alpha_0_02,0.02,4,2013,1.82571198897743,1.74977730465524,1.99651423977955,0.0336040938347242,0.0350624029866856,-0.00145830915196137,0.987231092478401
steady_state_blend_alpha_0_02,0.02,5,2014,1.69308571899146,1.62916753241063,1.99386171437983,0.0312878093034815,0.0325153442211497,-0.00122753491766816,0.988111440624423
steady_state_blend_alpha_0_02,0.02,6,2015,1.75266359398044,1.69339310774425,1.99505327187961,0.0325212475555139,0.0336595243955506,-0.00113827684003671,0.98764286483274
steady_state_blend_alpha_0_02,0.02,7,2016,1.63905590296816,1.57195282986393,1.99278111805936,0.0301890133435669,0.0314777133165257,-0.00128869997295873,0.988529157532108
steady_state_blend_alpha_0_02,0.02,8,2017,1.58650710764511,1.52062316709119,1.9917301421529,0.0292032382968048,0.0304685250934075,-0.00126528679660271,0.988903743615629
steady_state_blend_alpha_0_02,0.02,9,2018,1.9710348178179,1.97740542747483,1.99942069635636,0.037975642590272,0.0378532964127749,0.000122346177497179,0.985570186558177
