case_name,description,policy_reference_price,status,iterations_completed,converged,looks_stable,residual_norm,max_abs_gap,max_abs_update,price_min,price_max,path_span,policy_reference_min_used,policy_reference_max_used,warm_start_source,elapsed_seconds
steady_state_fixed_price_1.97,Fixed-price policy bridge benchmark at price 1.97.,1.97,ok,25,0,1,0.0369278824852692,0.0491810303450047,0.00540649133485305,2.00033601210982,2.53670279133305,0.536366779223228,1.97,1.97,transition_re_k_step_policy_bridge_steady_state_fixed_price_2_0_results.final_price_path,21.2793206
steady_state_fixed_price_1.98,Fixed-price policy bridge benchmark at price 1.98.,1.98,ok,25,0,1,0.0276913731911438,0.0340634929767045,0.00375501864316341,2.00033601210982,2.3784496091272,0.378113597017373,1.98,1.98,transition_re_k_step_policy_bridge_steady_state_fixed_price_2_0_results.final_price_path,10.7521478
steady_state_fixed_price_1.985,Fixed-price policy bridge benchmark at price 1.985.,1.985,ok,25,0,1,0.0260455179721953,0.0315672381592886,0.00348155587081544,2.00033601210982,2.35140146212926,0.351065450019433,1.985,1.985,transition_re_k_step_policy_bridge_steady_state_fixed_price_2_0_results.final_price_path,10.7680771
