case_name,description,policy_reference_price,status,iterations_completed,converged,looks_stable,residual_norm,max_abs_gap,max_abs_update,price_min,price_max,path_span,policy_reference_min_used,policy_reference_max_used,warm_start_source,elapsed_seconds
steady_state_fixed_price_1.96,Fixed-price policy bridge benchmark at price 1.96.,1.96,ok,25,0,0,0.0820533419590999,0.128022698225494,0.0139225067325941,2.00033601210982,3.25758956863171,1.25725355652189,1.96,1.96,transition_re_k_step_policy_bridge_steady_state_fixed_price_2_0_results.final_price_path,21.4567155
steady_state_fixed_price_1.965,Fixed-price policy bridge benchmark at price 1.965.,1.965,ok,25,0,0,0.0413189957615563,0.056392929014498,0.00619177109394187,2.00033601210982,2.60923286332248,0.608896851212656,1.965,1.965,transition_re_k_step_policy_bridge_steady_state_fixed_price_2_0_results.final_price_path,10.8591677
