joint_iter,period_index,year,input_price,housing_candidate_price,weighted_vote_share,politically_adjusted_price,implied_price,equal_weight_vote,weighted_vote,excess_demand
1,1,2010,2.00033601210982,2.00062479495736,-0.928211545030494,1.99876865350464,2.00033601210982,-0.970803997816276,-0.94871490033345,-5.54601198713561e-06
1,2,2011,2.00040274018893,2.00077157632939,-0.925081412491502,1.99892155557533,2.08956545466921,-0.969501615629536,-0.946427161297523,0.00170526718556804
1,3,2012,2.00044992543386,2.00088703678943,-0.922332499170774,1.99904240446117,2.16815056676778,-0.968355722004997,-0.944414378426825,0.00321225983533223
1,4,2013,2,2,-0.922941013184957,1.99815496953174,2.15075409463941,-0.968609699527889,-0.944860304185179,0.00289519970841642
2,1,2010,1.99876865350464,1.99905861672067,-0.928210843274903,1.99720392973974,1.99876865350464,-0.970803745991258,-0.948714407128334,-5.57319166381853e-06
2,2,2011,1.99892155557533,1.99928889778957,-0.925080780364186,1.99744024926227,2.08792001386483,-0.969501392336107,-0.946426718054945,0.00170352020514194
2,3,2012,1.99904240446117,1.99947535070794,-0.922331934823187,1.99763202095072,2.16643578997888,-0.968355526606921,-0.944413984072085,0.0032090364462509
2,4,2013,1.99815496953174,1.99815496953174,-0.922940530354038,1.99631164209608,2.14904760093534,-0.968609532359525,-0.94485996689741,0.00290020771243346
