case_name,horizon_k,guess_source,housing_adjustment_mode,housing_adjustment_weight,housing_adjustment_space,iterations_completed,converged,residual_norm,max_abs_gap,max_abs_update,accepted_update,max_abs_equal_weight_vote,max_abs_weighted_vote,price_min,price_max,implied_price_min,implied_price_max,elapsed_seconds
instant_market_clearing,4,transition_re_no_politics_results.final_price_path_prefix,instant_market_clearing,1,log,1,0,0.116671467857458,0.167263529978356,0.000437111355566788,sequential_block_p2_1_3_0.01,0.970803997816276,0.94871490033345,2,2.00088703678943,2.00033601210982,2.16815056676778,171.2666698
construction_lag_w0.13,4,transition_re_no_politics_results.final_price_path_prefix,construction_lag_price_partial_adjustment,0.13,log,1,0,0.0282108308866613,0.0465558585003594,9.0723294242423e-05,sequential_block_p2_1_3_0.01,0.970803997816276,0.94871490033345,2,2.0005406487281,2.00037337842234,2.04655585850036,163.1629189
construction_lag_w0.20,4,transition_re_no_politics_results.final_price_path_prefix,construction_lag_price_partial_adjustment,0.2,log,1,0,0.0412660230253322,0.0674266163019519,0.00013605092155089,sequential_block_p2_1_3_0.01,0.970803997816276,0.94871490033345,2,2.00058597635541,2.00038786237894,2.06742661630195,165.6142501
construction_lag_w0.45,4,transition_re_no_politics_results.final_price_path_prefix,construction_lag_price_partial_adjustment,0.45,log,1,0,0.0775990806841947,0.120871634517757,0.00026958305663749,sequential_block_p2_1_3_0.01,0.970803997816276,0.94871490033345,2,2.0007195084905,2.00041303789443,2.12087163451776,181.8980332
