case_name,period_index,calendar_year,final_price,implied_price,policy_reference_price_used,policy_floor_binding,Hdemand,Hsupply,excess_demand,rent_share
steady_state_fixed_price_2_0_benchmark,1,2010,2.00033601210982,2.00033601210982,2,0,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_fixed_price_2_0_benchmark,2,2011,2.08956545466459,2.08956545466921,2,0,0.0401296515994858,0.0401296515993972,8.86166140467992e-14,0.984750807814768
steady_state_fixed_price_2_0_benchmark,3,2012,2.16815056664465,2.16815056676778,2,0,0.0416388616423565,0.0416388616399917,2.36487912586014e-12,0.984177866726737
steady_state_fixed_price_2_0_benchmark,4,2013,2.1507540931034,2.15075409463941,2,0,0.0413047661661837,0.0413047661366851,2.94986396420782e-11,0.984304849847499
steady_state_fixed_price_2_0_benchmark,5,2014,2.00526115933193,2.00526116005308,2,0,0.0385106058961192,0.0385106058822696,1.38496158985646e-11,0.985366787766941
steady_state_fixed_price_2_0_benchmark,6,2015,2.03818293350372,2.03818300700314,2,0,0.0391428628302895,0.039142861418749,1.41154041927161e-09,0.985126620589399
steady_state_fixed_price_2_0_benchmark,7,2016,1.96032991548153,1.96032887228097,2,0,0.037647691049478,0.0376477110839186,-2.00344406550701e-08,0.985694801206391
steady_state_fixed_price_2_0_benchmark,8,2017,1.90811521146529,1.90808199632927,2,0,0.0366443011224392,0.0366449390119264,-6.37889487238585e-07,0.986076049691303
steady_state_fixed_price_2_0_benchmark,9,2018,1.97749491329228,1.97737898809366,2,0,0.037975134827688,0.0379773611459983,-2.22631831025416e-06,0.985570250868445
steady_state_by_period_price_unclipped,1,2010,2.00033601210982,2.00033601210982,2.00033601210982,0,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_by_period_price_unclipped,2,2011,2.08956545466459,2.08956545466921,2.08956545466459,0,0.0401296515994858,0.0401296515993972,8.86166140467992e-14,0.984750807814768
steady_state_by_period_price_unclipped,3,2012,1.71721412617373,1.68652350325388,1.71721412617373,0,0.0323893182904082,0.0329787250507434,-0.000589406760335254,0.987692135278666
steady_state_by_period_price_unclipped,4,2013,5,58.0918073783866,5,0,1.11564056807598,0.0960239161444182,1.01961665193156,0.837457096236347
steady_state_by_period_price_unclipped,5,2014,5,30.6503183769192,5,0,0.588632720325001,0.0960239161444182,0.492608804180583,0.932246261241193
steady_state_by_period_price_unclipped,6,2015,5,9.96356498195662,5,0,0.191348105665373,0.0960239161444182,0.0953241895209547,0.97523897612599
steady_state_by_period_price_unclipped,7,2016,1.27222256337962,2.29698872783436,1.27222256337962,0,0.0441131705972481,0.0244327585486004,0.0196804120486478,0.994444748079038
steady_state_by_period_price_unclipped,8,2017,5,228.376777390713,5,0,4.38592650429965,0.0960239161444182,4.28990258815523,0.505475367090073
steady_state_by_period_price_unclipped,9,2018,5,137.833235964699,5,0,2.64705741843761,0.0960239161444182,2.55103350229319,0.724268178873545
steady_state_by_period_price_floor_1.80,1,2010,2.00033601210982,2.00033601210982,2.00033601210982,0,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_by_period_price_floor_1.80,2,2011,2.08956545466459,2.08956545466921,2.08956545466459,0,0.0401296515994858,0.0401296515993972,8.86166140467992e-14,0.984750807814768
steady_state_by_period_price_floor_1.80,3,2012,1.71721412617373,1.68652350325388,1.8,1,0.0323893182904082,0.0329787250507434,-0.000589406760335254,0.987692135278666
steady_state_by_period_price_floor_1.80,4,2013,5,32.4355465847571,5,0,0.622917641070618,0.0960239161444182,0.5268937249262,0.921455545765348
steady_state_by_period_price_floor_1.80,5,2014,5,22.8458521738745,5,0,0.43874963867838,0.0960239161444182,0.342725722533962,0.948011068886566
steady_state_by_period_price_floor_1.80,6,2015,4.74286715850282,5.75654780407854,4.74286715850282,0,0.110553252724035,0.091085735662438,0.0194675170615966,0.985110945001534
steady_state_by_period_price_floor_1.80,7,2016,0.414313242161455,0.568528190515856,1.8,1,0.0109184606583665,0.00795679600456671,0.00296166465379977,0.998622116735423
steady_state_by_period_price_floor_1.80,8,2017,5,28.2708834609764,5,0,0.542936188557083,0.0960239161444182,0.446912272412665,0.931297140641132
steady_state_by_period_price_floor_1.80,9,2018,5,21.5934181064042,5,0,0.414696913904145,0.0960239161444182,0.318672997759726,0.951691070751176
steady_state_by_period_price_floor_1.85,1,2010,2.00033601210982,2.00033601210982,2.00033601210982,0,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_by_period_price_floor_1.85,2,2011,2.08956545466459,2.08956545466921,2.08956545466459,0,0.0401296515994858,0.0401296515993972,8.86166140467992e-14,0.984750807814768
steady_state_by_period_price_floor_1.85,3,2012,1.71721412617373,1.68652350325388,1.85,1,0.0323893182904082,0.0329787250507434,-0.000589406760335254,0.987692135278666
steady_state_by_period_price_floor_1.85,4,2013,5,20.9070445640955,5,0,0.401515258810064,0.0960239161444182,0.305491342665646,0.952655278817919
steady_state_by_period_price_floor_1.85,5,2014,5,16.9291588501466,5,0,0.325120825964402,0.0960239161444182,0.229096909819984,0.960640957560776
steady_state_by_period_price_floor_1.85,6,2015,1.18687032997655,3.98783738552997,1.85,1,0.0765855525411412,0.0227935874079932,0.053791965133148,0.989454838814701
steady_state_by_period_price_floor_1.85,7,2016,5,18.232171850383,5,0,0.35014490817836,0.0960239161444182,0.254120992033942,0.959262462421736
steady_state_by_period_price_floor_1.85,8,2017,5,14.8719649843994,5,0,0.285612863712938,0.0960239161444182,0.18958894756852,0.965884227785695
steady_state_by_period_price_floor_1.85,9,2018,2.69622164164541,4.41714877057743,2.69622164164541,0,0.0848303846286695,0.051780352164825,0.0330500324638445,0.988661053923472
steady_state_by_period_price_floor_1.90,1,2010,2.00033601210982,2.00033601210982,2.00033601210982,0,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_by_period_price_floor_1.90,2,2011,2.08956545466459,2.08956545466921,2.08956545466459,0,0.0401296515994858,0.0401296515993972,8.86166140467992e-14,0.984750807814768
steady_state_by_period_price_floor_1.90,3,2012,1.71721412617373,1.68652350325388,1.9,1,0.0323893182904082,0.0329787250507434,-0.000589406760335254,0.987692135278666
steady_state_by_period_price_floor_1.90,4,2013,5,7.63962653057835,5,0,0.146717371469386,0.0960239161444182,0.0506934553249675,0.982216094595237
steady_state_by_period_price_floor_1.90,5,2014,1.87308380408632,7.37096550845545,1.9,1,0.141557794777465,0.0359721684270105,0.105585626350454,0.98286815183151
steady_state_by_period_price_floor_1.90,6,2015,2.96457609790674,8.28584640420076,2.96457609790674,0,0.159127884060501,0.0569340413258286,0.102193842734672,0.981292890734231
steady_state_by_period_price_floor_1.90,7,2016,3.5020369072161,0.281992382009793,3.5020369072161,0,0.00541560256869463,0.0672558596626352,-0.0618402570939406,0.999624690470858
steady_state_by_period_price_floor_1.90,8,2017,2.14364763851912,0.232650901053069,2.14364763851912,0,0.00446801012272864,0.0411682882168681,-0.0367002780941395,0.999622769542249
steady_state_by_period_price_floor_1.90,9,2018,0.4,0.000280573750916579,1.9,1,5.38835806606769e-06,0.00768191329155346,-0.00767652493348739,0.999999479540362
steady_state_by_period_price_floor_1.95,1,2010,2.00033601210982,2.00033601210982,2.00033601210982,0,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_by_period_price_floor_1.95,2,2011,2.08956545466459,2.08956545466921,2.08956545466459,0,0.0401296515994858,0.0401296515993972,8.86166140467992e-14,0.984750807814768
steady_state_by_period_price_floor_1.95,3,2012,1.71721412617373,1.68652350325388,1.95,1,0.0323893182904082,0.0329787250507434,-0.000589406760335254,0.987692135278666
steady_state_by_period_price_floor_1.95,4,2013,2.27947171973307,2.77471686062331,2.27947171973307,0,0.0532878358297992,0.0437767602538442,0.00951107557595499,0.984804640557024
steady_state_by_period_price_floor_1.95,5,2014,2.15048713348846,1.15074191153333,2.15048713348846,0,0.0220997489633887,0.0412996392351492,-0.0191998902717604,0.997191261465231
steady_state_by_period_price_floor_1.95,6,2015,0.443921737059366,1.14573105897134,1.95,1,0.0220035166261438,0.0085254207308146,0.0134780958953292,0.997203194594954
steady_state_by_period_price_floor_1.95,7,2016,0.727813879363725,2.15697615627748,1.95,1,0.0414242595111796,0.0139775077841532,0.0274467517270264,0.992238103685749
steady_state_by_period_price_floor_1.95,8,2017,1.77256944875032,3.22215335562127,1.95,1,0.0618807567249266,0.0340418120213917,0.0278389447035349,0.987112012630008
steady_state_by_period_price_floor_1.95,9,2018,1.69837065788603,4.48779559800201,1.95,1,0.0861871416351668,0.0326168403269978,0.053570301308169,0.981556409305593
steady_state_by_period_price_floor_2.00,1,2010,2.00033601210982,2.00033601210982,2.00033601210982,0,0.0384160194974987,0.0384160194974987,0,0.985401998908138
steady_state_by_period_price_floor_2.00,2,2011,2.08956545466459,2.08956545466921,2.08956545466459,0,0.0401296515994858,0.0401296515993972,8.86166140467992e-14,0.984750807814768
steady_state_by_period_price_floor_2.00,3,2012,1.71721412617373,1.68652350325388,2,1,0.0323893182904082,0.0329787250507434,-0.000589406760335254,0.987692135278666
steady_state_by_period_price_floor_2.00,4,2013,1.47624229158828,1.68653930225571,2,1,0.0323896217068135,0.0283509132032633,0.00403870850355018,0.987692016885402
steady_state_by_period_price_floor_2.00,5,2014,1.42519238950919,1.56972059332133,2,1,0.0301461437246507,0.0273705108999787,0.00277563282467202,0.988544694665102
steady_state_by_period_price_floor_2.00,6,2015,1.42849191994906,1.55294909420588,2,1,0.0298240507197152,0.0274338776668335,0.00239017305288168,0.988667089072996
steady_state_by_period_price_floor_2.00,7,2016,1.36308829874081,1.47396999175785,2,1,0.0283072741775889,0.0261778152991451,0.00212945887844385,0.989243497910608
steady_state_by_period_price_floor_2.00,8,2017,1.87448322773742,1.90795528333286,2,1,0.0366418676268109,0.0359990440548753,0.000642823571935673,0.986076357493088
steady_state_by_period_price_floor_2.00,9,2018,1.96574154856352,1.97726793491092,2,1,0.0379730020753867,0.0377516403241725,0.00022136175121415,0.985570520512404
