k,max_stable_alpha,first_unstable_alpha,frontier_status,last_stable_max_abs_gap,last_stable_price_min,last_stable_price_max
1,0.13,NaN,found_stable_alpha,0,2.00033601210982,2.00033601210982
2,0.13,NaN,found_stable_alpha,6.42867981071049e-11,2.00033601210982,2.08956545461135
3,0.13,NaN,found_stable_alpha,0.030690258814746,1.71722039436911,2.08956545466505
4,0.13,NaN,found_stable_alpha,0.0080063470080507,1.68871499041769,2.08956545466891
5,0.13,NaN,found_stable_alpha,0.0217296723952434,1.68668689161978,2.08956545466919
6,0.13,NaN,found_stable_alpha,0.00551544955400018,1.67739887255157,2.0895654546692
