k,policy_reference_blend_weight,status,iterations_completed,converged,looks_stable,residual_norm,max_abs_gap,max_abs_update,price_min,price_max,path_span,policy_reference_price_first_used,policy_reference_price_last_used,warm_start_source,elapsed_seconds
1,0.13,ok,1,1,1,0,0,0,2.00033601210982,2.00033601210982,0,2.00004368157428,2.00004368157428,anchor_prefix_transition_re_k_step_policy_bridge_steady_state_fixed_price_2_0_results.final_price_path,20.156895
2,0.13,ok,1,1,1,3.07657233022951e-11,6.42867981071049e-11,6.42863540178951e-12,2.00033601210982,2.08956545461135,0.0892294425015243,2.00004368157428,2.01164350909864,same_alpha_k_1,9.9203865
3,0.13,ok,25,0,1,0.0180336897678934,0.030690258814746,0.0034443184854438,1.71722039436911,2.08956545466505,0.37234506029594,2.00004368157428,1.96323865126798,same_alpha_k_2,263.3003202
4,0.13,ok,25,0,1,0.00413983917788151,0.0080063470080507,0.00088765230108967,1.68871499041769,2.08956545466891,0.400850464251219,2.00004368157428,2.00417281891203,same_alpha_k_3,490.5080855
5,0.13,ok,25,0,1,0.012886456454664,0.0217296723952434,0.00243173391654694,1.68668689161978,2.08956545466919,0.402878563049402,2.00004368157428,1.96068512520022,same_alpha_k_4,706.6608951
6,0.13,ok,25,0,1,0.00295849862605125,0.00551544955400018,0.000613785015052493,1.67739887255157,2.0895654546692,0.412166582117629,2.00004368157428,1.99550930900658,same_alpha_k_5,892.0761749
