k,max_stable_alpha,first_unstable_alpha,frontier_status,last_stable_max_abs_gap,last_stable_price_min,last_stable_price_max
1,0.1,NaN,found_stable_alpha,0,2.00033601210982,2.00033601210982
2,0.1,NaN,found_stable_alpha,6.42867981071049e-11,2.00033601210982,2.08956545461135
3,0.1,NaN,found_stable_alpha,0.030690258814746,1.71722039436911,2.08956545466505
4,0.1,NaN,found_stable_alpha,0.0244192858473866,1.68871499041769,2.08956545466891
5,0.1,NaN,found_stable_alpha,0.0188122310746139,1.68668689161978,2.08956545466919
6,0.1,NaN,found_stable_alpha,0.00717013793785592,1.68654138855535,2.0895654546692
