case_name,period_index,calendar_year,final_price,implied_price,policy_reference_price_used,floor_binding,cap_binding,Hdemand,Hsupply,excess_demand
steady_state_fixed_price_2_0_benchmark,1,2010,2.00033601210982,2.00033601210982,2,0,0,0.0384160194974987,0.0384160194974987,0
steady_state_fixed_price_2_0_benchmark,2,2011,2.08956545466459,2.08956545466921,2,0,0,0.0401296515994858,0.0401296515993972,8.86166140467992e-14
steady_state_fixed_price_2_0_benchmark,3,2012,2.16815056664465,2.16815056676778,2,0,0,0.0416388616423565,0.0416388616399917,2.36487912586014e-12
steady_state_fixed_price_2_0_benchmark,4,2013,2.1507540931034,2.15075409463941,2,0,0,0.0413047661661837,0.0413047661366851,2.94986396420782e-11
steady_state_fixed_price_2_0_benchmark,5,2014,2.00526115933193,2.00526116005308,2,0,0,0.0385106058961192,0.0385106058822696,1.38496158985646e-11
steady_state_fixed_price_2_0_benchmark,6,2015,2.03818293350372,2.03818300700314,2,0,0,0.0391428628302895,0.039142861418749,1.41154041927161e-09
steady_state_fixed_price_2_0_benchmark,7,2016,1.96032991548153,1.96032887228097,2,0,0,0.037647691049478,0.0376477110839186,-2.00344406550701e-08
steady_state_fixed_price_2_0_benchmark,8,2017,1.90811521146529,1.90808199632927,2,0,0,0.0366443011224392,0.0366449390119264,-6.37889487238585e-07
steady_state_fixed_price_2_0_benchmark,9,2018,1.97749491329228,1.97737898809366,2,0,0,0.037975134827688,0.0379773611459983,-2.22631831025416e-06
steady_state_by_period_price_band_1.95_2.05,1,2010,2.00033601210982,2.00033601210982,2.00033601210982,0,0,0.0384160194974987,0.0384160194974987,0
steady_state_by_period_price_band_1.95_2.05,2,2011,2.08956545466459,2.08956545466921,2.05,0,1,0.0401296515994858,0.0401296515993972,8.86166140467992e-14
steady_state_by_period_price_band_1.95_2.05,3,2012,1.71721414588201,1.68652352410696,1.95,1,0,0.032389318690887,0.0329787254292366,-0.000589406738349514
steady_state_by_period_price_band_1.95_2.05,4,2013,2.62311359759194,2.77471686062331,2.05,0,1,0.0532878358297992,0.0503763280264903,0.00291150780330888
steady_state_by_period_price_band_1.95_2.05,5,2014,2.45357480334416,2.50373287147248,2.05,0,1,0.0480836470596593,0.0471203722340754,0.000963274825583914
steady_state_by_period_price_band_1.95_2.05,6,2015,2.13253391413316,2.05716562931432,2.05,0,1,0.0395074199768915,0.0409548515491702,-0.00144743157227866
steady_state_by_period_price_band_1.95_2.05,7,2016,1.51636705778279,1.50894443060326,1.95,1,0,0.0289789506941669,0.0291215006401385,-0.000142549945971619
steady_state_by_period_price_band_1.95_2.05,8,2017,2.55593550030916,2.49563441328071,2.05,0,1,0.0479281179255983,0.0490861872304457,-0.00115806930484746
steady_state_by_period_price_band_1.95_2.05,9,2018,2.35410888550289,2.240905280089,2.05,0,1,0.0430361001405701,0.0452101508432719,-0.00217405070270181
steady_state_by_period_price_band_1.95_2.10,1,2010,2.00033601210982,2.00033601210982,2.00033601210982,0,0,0.0384160194974987,0.0384160194974987,0
steady_state_by_period_price_band_1.95_2.10,2,2011,2.08956545466459,2.08956545466921,2.08956545466459,0,0,0.0401296515994858,0.0401296515993972,8.86166140467992e-14
steady_state_by_period_price_band_1.95_2.10,3,2012,1.71721412617373,1.68652350325388,1.95,1,0,0.0323893182904082,0.0329787250507434,-0.000589406760335254
steady_state_by_period_price_band_1.95_2.10,4,2013,2.27947171973307,2.77471686062331,2.1,0,1,0.0532878358297992,0.0437767602538442,0.00951107557595499
steady_state_by_period_price_band_1.95_2.10,5,2014,2.14996198614559,1.16824127576435,2.1,0,1,0.0224358204600889,0.0412895538942662,-0.0188537334341773
steady_state_by_period_price_band_1.95_2.10,6,2015,1.76326912002185,1.164203034333,1.95,1,0,0.0223582669087738,0.0338632012242041,-0.0115049343154304
steady_state_by_period_price_band_1.95_2.10,7,2016,1.86336569126057,2.17457837012642,1.95,1,0,0.0417623062124971,0.0357855341767982,0.00597677203569889
steady_state_by_period_price_band_1.95_2.10,8,2017,2.22158896517737,3.23826624352921,2.1,0,1,0.0621902012443899,0.0426651344999114,0.0195250667444785
steady_state_by_period_price_band_1.95_2.10,9,2018,2.11825541550392,2.40069026810553,2.1,0,1,0.0461047361986573,0.0406806360781616,0.0054241001204957
steady_state_by_period_price_band_1.90_2.10,1,2010,2.00033601210982,2.00033601210982,2.00033601210982,0,0,0.0384160194974987,0.0384160194974987,0
steady_state_by_period_price_band_1.90_2.10,2,2011,2.08956545466459,2.08956545466921,2.08956545466459,0,0,0.0401296515994858,0.0401296515993972,8.86166140467992e-14
steady_state_by_period_price_band_1.90_2.10,3,2012,1.71721412617373,1.68652350325388,1.9,1,0,0.0323893182904082,0.0329787250507434,-0.000589406760335254
steady_state_by_period_price_band_1.90_2.10,4,2013,5,7.63962653057835,2.1,0,1,0.146717371469386,0.0960239161444182,0.0506934553249675
steady_state_by_period_price_band_1.90_2.10,5,2014,5,7.78418606479891,2.1,0,1,0.14949360598776,0.0960239161444182,0.0534696898433417
steady_state_by_period_price_band_1.90_2.10,6,2015,5,7.99074115035224,2.1,0,1,0.153460451630635,0.0960239161444182,0.057436535486217
steady_state_by_period_price_band_1.90_2.10,7,2016,5,7.73350189667413,2.1,0,1,0.148520227525787,0.0960239161444182,0.0524963113813689
steady_state_by_period_price_band_1.90_2.10,8,2017,5,7.28629745086562,2.1,0,1,0.139931763085042,0.0960239161444182,0.0439078469406235
steady_state_by_period_price_band_1.90_2.10,9,2018,5,6.21281506320093,2.1,0,1,0.119315766529917,0.0960239161444182,0.0232918503854986
steady_state_by_period_price_band_1.90_2.15,1,2010,2.00033601210982,2.00033601210982,2.00033601210982,0,0,0.0384160194974987,0.0384160194974987,0
steady_state_by_period_price_band_1.90_2.15,2,2011,2.08956545466459,2.08956545466921,2.08956545466459,0,0,0.0401296515994858,0.0401296515993972,8.86166140467992e-14
steady_state_by_period_price_band_1.90_2.15,3,2012,1.71721412617373,1.68652350325388,1.9,1,0,0.0323893182904082,0.0329787250507434,-0.000589406760335254
steady_state_by_period_price_band_1.90_2.15,4,2013,5,7.63962653057835,2.15,0,1,0.146717371469386,0.0960239161444182,0.0506934553249675
