period_index,year,price_guess,final_price,implied_price,housing_demand,housing_supply,excess_demand,equal_weight_vote,weighted_vote,weighted_vote_share,equal_weight_distance,weighted_distance,owner_share,old_owner_share,leveraged_owner_share,rent_share
1,2010,2.00033601210982,2.00062479495736,2.00033601210982,0.0384160194974987,0.0384215655094859,-5.54601198713561e-06,-0.970803997816276,-0.94871490033345,-0.928211545030494,0.942460402176063,0.900059962114707,0.0145980010918622,0.0145979920379372,0.0145979958729047,0.985401998908138
2,2011,2.00040274018893,2.00077157632939,2.08956545466921,0.0401296515994858,0.0384243844139178,0.00170526718556804,-0.969501615629536,-0.946427161297523,-0.925081412491502,0.939933382708281,0.895724371641688,0.0152491921852318,0.0152491901643391,0.0152491919893136,0.984750807814768
3,2012,2.00044992543386,2.00088703678943,2.16815056676778,0.0416388616423565,0.0384266018070243,0.00321225983533223,-0.968355722004997,-0.944414378426825,-0.922332499170774,0.937712804339818,0.891918518179326,0.0158221332732635,0.0158218489950388,0.0158218651193329,0.984177866726737
4,2013,2,2,2.15075409463941,0.0413047661661837,0.0384095664577673,0.00289519970841642,-0.968609699527889,-0.944860304185179,-0.922941013184957,0.938204750019507,0.892760994424908,0.0156951501525015,0.0156951437132357,0.0156950871730898,0.984304849847499
