k,status,iterations_completed,converged,residual_norm,max_abs_gap,max_abs_update,accepted_update,worst_gap_period,worst_excess_demand_period,worst_excess_demand,price_min,price_max,path_span,warm_start_source,elapsed_seconds
1,ok,1,1,0,0,0,fertility_style_relaxation,1,1,0,2.00033601210982,2.00033601210982,0,anchor_prefix,21.4425043
2,ok,25,0,3.49280145079166,159.389623498728,0,fertility_style_relaxation,2,2,3.06104316822644,2.00033601210982,5,2.99966398789018,k_1_final_path_plus_transition_re_no_politics_results.final_price_path_tail,130.8308276
