outer_iter,period,year,is_report_period,political_pass_through,vote_scale,demographic_scenario,age_col_requested,age_col_used,age_year,demographic_horizon_capped,price_guess,price_generated,vote,vote_resid,pressure,restriction,homeownership,housing_demand,abs_log_path_gap,abs_log_price_move,path_relaxation
1,1,2001,1,-0.006,0.02,published_baby_boom,52,52,2001,0,8.98129172105232,8.98129172105232,0.41117365846519,0.00641114812689902,0.310010844086842,-0.00186006506452105,0.416421619293995,0.84818806959893,0,0,0.01
1,2,2002,1,-0.006,0.02,published_baby_boom,53,53,2002,0,8.98129172105232,8.98129172105232,0.41117365846519,0.00641114812689902,0.310010844086842,-0.00186006506452105,0.41550605615704,0.846323205425653,0,0,0.01
1,3,2003,1,-0.006,0.02,published_baby_boom,54,54,2003,0,8.98129172105232,8.98129172105232,0.41117365846519,0.00641114812689902,0.310010844086842,-0.00186006506452105,0.414599887818375,0.844477475248491,0,0,0.01
1,4,2004,1,-0.006,0.02,published_baby_boom,55,55,2004,0,8.98129172105232,8.98129172105232,0.41117365846519,0.00641114812689902,0.310010844086842,-0.00186006506452105,0.413703166568331,0.842650985301222,0,0,0.01
1,5,2005,1,-0.006,0.02,published_baby_boom,56,56,2005,0,8.98129172105232,8.96460146138432,0.409297153644823,0.0045346433065323,0.222925186385115,-0.00133755111831069,0.41281858415722,0.840849217895937,0.001860065064521,0,0.01
1,6,2006,1,-0.006,0.02,published_baby_boom,57,57,2006,0,8.98129172105232,8.96460146138432,0.409297153644823,0.0045346433065323,0.222925186385115,-0.00133755111831069,0.411955875219111,0.83909199988907,0.001860065064521,0,0.01
1,7,2007,1,-0.006,0.02,published_baby_boom,58,58,2007,0,8.98129172105232,8.96460146138432,0.409297153644823,0.0045346433065323,0.222925186385115,-0.00133755111831069,0.411111488204509,0.837372097279057,0.001860065064521,0,0.01
1,8,2008,1,-0.006,0.02,published_baby_boom,59,59,2008,0,8.98129172105232,8.96460146138432,0.409297153644823,0.0045346433065323,0.222925186385115,-0.00133755111831069,0.410287290834827,0.835693313461512,0.001860065064521,0,0.01
1,9,2009,1,-0.006,0.02,published_baby_boom,60,60,2009,0,8.98129172105232,8.96928681464472,0.407645873739694,0.00288336340140333,0.143177585513707,-0.000859065513082244,0.409491405289199,0.83407219080307,0.00133755111831052,0,0.01
1,10,2010,1,-0.006,0.02,published_baby_boom,61,61,2010,0,8.98129172105232,8.96928681464472,0.407645873739694,0.00288336340140333,0.143177585513707,-0.000859065513082244,0.409617084949162,0.834328149462972,0.00133755111831052,0,0.01
1,11,2011,1,-0.006,0.02,published_baby_boom,62,62,2011,0,8.98129172105232,8.96928681464472,0.407645873739694,0.00288336340140333,0.143177585513707,-0.000859065513082244,0.409797557720416,0.834695704639419,0.00133755111831052,0,0.01
1,12,2012,1,-0.006,0.02,published_baby_boom,63,63,2012,0,8.98129172105232,8.96928681464472,0.407645873739694,0.00288336340140333,0.143177585513707,-0.000859065513082244,0.41004897893899,0.835207761395466,0.00133755111831052,0,0.01
1,13,2013,1,-0.006,0.02,published_baby_boom,64,64,2013,0,8.98129172105232,8.97357951619074,0.408171860150146,0.00340934981185498,0.168835246301534,-0.0010130114778092,0.410373383989097,0.835868466714738,0.000859065513082258,0,0.01
1,14,2014,1,-0.006,0.02,published_baby_boom,65,65,2014,0,8.98129172105232,8.97357951619074,0.408171860150146,0.00340934981185498,0.168835246301534,-0.0010130114778092,0.410792516498544,0.83672210757367,0.000859065513082258,0,0.01
1,15,2015,1,-0.006,0.02,published_baby_boom,66,66,2015,0,8.98129172105232,8.97357951619074,0.408171860150146,0.00340934981185498,0.168835246301534,-0.0010130114778092,0.41130622409788,0.837768373844277,0.000859065513082258,0,0.01
1,16,2016,1,-0.006,0.02,published_baby_boom,67,67,2016,0,8.98129172105232,8.97357951619074,0.408171860150146,0.00340934981185498,0.168835246301534,-0.0010130114778092,0.411916024940304,0.83901035776017,0.000859065513082258,0,0.01
1,17,2017,1,-0.006,0.02,published_baby_boom,68,68,2017,0,8.98129172105232,8.97219817616366,0.409088684984552,0.00432617464626123,0.212997042598692,-0.00127798225559215,0.412637295993555,0.840479379092893,0.00101301147780925,0,0.01
1,18,2018,1,-0.006,0.02,published_baby_boom,69,69,2018,0,8.98129172105232,8.97219817616366,0.409088684984552,0.00432617464626123,0.212997042598692,-0.00127798225559215,0.413433356207984,0.842100729911285,0.00101301147780925,0,0.01
1,19,2019,1,-0.006,0.02,published_baby_boom,70,70,2019,0,8.98129172105232,8.97219817616366,0.409088684984552,0.00432617464626123,0.212997042598692,-0.00127798225559215,0.414366416054406,0.844001116853505,0.00101301147780925,0,0.01
1,20,2020,1,-0.006,0.02,published_baby_boom,71,71,2020,0,8.98129172105232,8.97219817616366,0.409088684984552,0.00432617464626123,0.212997042598692,-0.00127798225559215,0.415334613172361,0.845973074208734,0.00101301147780925,0,0.01
1,21,2021,1,-0.006,0.02,published_baby_boom,72,72,2021,0,8.98129172105232,8.96982112077351,0.410853524253571,0.00609101391527972,0.295471580198296,-0.00177282948118977,0.416350658334269,0.848042490924402,0.00127798225559219,0,0.01
1,22,2022,1,-0.006,0.02,published_baby_boom,73,73,2022,0,8.98129172105232,8.96982112077351,0.410853524253571,0.00609101391527972,0.295471580198296,-0.00177282948118977,0.417350380724353,0.850078668312538,0.00127798225559219,0,0.01
1,23,2023,1,-0.006,0.02,published_baby_boom,74,74,2023,0,8.98129172105232,8.96982112077351,0.410853524253571,0.00609101391527972,0.295471580198296,-0.00177282948118977,0.418340952725408,0.852096214101475,0.00127798225559219,0,0.01
1,24,2024,1,-0.006,0.02,published_baby_boom,75,75,2024,0,8.98129172105232,8.96982112077351,0.410853524253571,0.00609101391527972,0.295471580198296,-0.00177282948118977,0.419260753133512,0.853969623036667,0.00127798225559219,0,0.01
1,25,2025,1,-0.006,0.02,published_baby_boom,76,76,2025,0,8.98129172105232,8.96538352773365,0.412964582234997,0.00820207189670585,0.38856063790869,-0.00233136382745214,0.420125490798164,0.85573089142042,0.0017728294811898,0,0.01
1,26,2026,1,-0.006,0.02,published_baby_boom,77,77,2026,0,8.98129172105232,8.96538352773365,0.412964582234997,0.00820207189670585,0.38856063790869,-0.00233136382745214,0.420889062174667,0.857286120306906,0.0017728294811898,0,0.01
1,27,2027,1,-0.006,0.02,published_baby_boom,78,78,2027,0,8.98129172105232,8.96538352773365,0.412964582234997,0.00820207189670585,0.38856063790869,-0.00233136382745214,0.421552547399487,0.858637511158528,0.0017728294811898,0,0.01
1,28,2028,1,-0.006,0.02,published_baby_boom,79,79,2028,0,8.98129172105232,8.96538352773365,0.412964582234997,0.00820207189670585,0.38856063790869,-0.00233136382745214,0.422116069304664,0.859785315334134,0.0017728294811898,0,0.01
1,29,2029,1,-0.006,0.02,published_baby_boom,80,80,2029,0,8.98129172105232,8.96037745126896,0.414439089414034,0.00967657907574349,0.44930484607525,-0.0026958290764515,0.422498480608073,0.860564258461801,0.00233136382745225,0,0.01
1,30,2030,1,-0.006,0.02,published_baby_boom,81,81,2030,0,8.98129172105232,8.96037745126896,0.414439089414034,0.00967657907574349,0.44930484607525,-0.0026958290764515,0.422794445017155,0.861167144164183,0.00233136382745225,0,0.01
1,31,2031,1,-0.006,0.02,published_baby_boom,82,82,2031,0,8.98129172105232,8.96037745126896,0.414439089414034,0.00967657907574349,0.44930484607525,-0.0026958290764515,0.422967009408458,0.861518707921812,0.00233136382745225,0,0.01
1,32,2032,1,-0.006,0.02,published_baby_boom,83,83,2032,0,8.98129172105232,8.96037745126896,0.414439089414034,0.00967657907574349,0.44930484607525,-0.0026958290764515,0.423078403167234,0.861745692271584,0.00233136382745225,0,0.01
1,33,2033,1,-0.006,0.02,published_baby_boom,84,84,2033,0,8.98129172105232,8.95711230012326,0.414774504600528,0.0100119942622374,0.462588669546904,-0.00277553201728142,0.423102117322265,0.861794103914596,0.00269582907645145,0,0.01
1,34,2034,1,-0.006,0.02,published_baby_boom,85,85,2034,0,8.98129172105232,8.95711230012326,0.414774504600528,0.0100119942622374,0.462588669546904,-0.00277553201728142,0.423089716921174,0.861768964621376,0.00269582907645145,0,0.01
1,35,2035,1,-0.006,0.02,published_baby_boom,86,86,2035,0,8.98129172105232,8.95711230012326,0.414774504600528,0.0100119942622374,0.462588669546904,-0.00277553201728142,0.423014009918158,0.861614888500829,0.00269582907645145,0,0.01
1,36,2036,1,-0.006,0.02,published_baby_boom,87,87,2036,0,8.98129172105232,8.95711230012326,0.414774504600528,0.0100119942622374,0.462588669546904,-0.00277553201728142,0.422916577616397,0.86141656240669,0.00269582907645145,0,0.01
1,37,2037,1,-0.006,0.02,published_baby_boom,88,88,2037,0,8.98129172105232,8.95639842038113,0.414614389717816,0.00985187937952497,0.456272805779447,-0.00273763683467668,0.422777411624806,0.861133231164599,0.00277553201728144,0,0.01
