T,candidate_id,period,year,political_persistence,political_pass_through,price_pass_through,price,vote,vote_resid,pressure,restriction,homeownership,housing_demand,inner_iter
80,1,1,2001,0,-0.006,1,8.98635476877593,0.402842511635104,-0.00191999870318715,-0.0957061068765312,0.000563573850418826,0.416164002788384,0.847663373344964,3
80,1,2,2002,0,-0.006,1,8.98635476877593,0.402842511635104,-0.00191999870318715,-0.0957061068765312,0.000563573850418826,0.415155097638736,0.845608394735932,3
80,1,3,2003,0,-0.006,1,8.98635476877593,0.402842511635104,-0.00191999870318715,-0.0957061068765312,0.000563573850418826,0.414192538074181,0.843647808056804,3
80,1,4,2004,0,-0.006,1,8.98635476877593,0.402842511635104,-0.00191999870318715,-0.0957061068765312,0.000563573850418826,0.413254831585351,0.841737839153623,3
80,1,5,2005,0,-0.006,1,8.99642538542385,0.398981128099022,-0.00578138223926905,-0.281277798534538,0.00168360285754005,0.41218330915504,0.839555253989806,3
80,1,6,2006,0,-0.006,1,8.99642538542385,0.398981128099022,-0.00578138223926905,-0.281277798534538,0.00168360285754005,0.411210082744624,0.837572943195459,3
80,1,7,2007,0,-0.006,1,8.99642538542385,0.398981128099022,-0.00578138223926905,-0.281277798534538,0.00168360285754005,0.410271319636548,0.835660822339783,3
80,1,8,2008,0,-0.006,1,8.99642538542385,0.398981128099022,-0.00578138223926905,-0.281277798534538,0.00168360285754005,0.409365637650168,0.833816076282238,3
80,1,9,2009,0,-0.006,1,9.00621583019605,0.394747039481482,-0.0100154708568089,-0.462725290764021,0.00277127056364239,0.407806936016839,0.830641309338323,3
80,1,10,2010,0,-0.006,1,9.00621583019605,0.394747039481482,-0.0100154708568089,-0.462725290764021,0.00277127056364239,0.407739977261279,0.830504915154338,3
80,1,11,2011,0,-0.006,1,9.00621583019605,0.394747039481482,-0.0100154708568089,-0.462725290764021,0.00277127056364239,0.407738151017584,0.830501175042613,3
80,1,12,2012,0,-0.006,1,9.00621583019605,0.394747039481482,-0.0100154708568089,-0.462725290764021,0.00277127056364239,0.407819833073372,0.830667516590014,3
80,1,13,2013,0,-0.006,1,9.00645488200563,0.394655503078927,-0.0101070072593637,-0.466314520078598,0.00279781319170776,0.408009507009439,0.831053806802954,3
80,1,14,2014,0,-0.006,1,9.00645488200563,0.394655503078927,-0.0101070072593637,-0.466314520078598,0.00279781319170776,0.408298651084389,0.831642691516426,3
80,1,15,2015,0,-0.006,1,9.00645488200563,0.394655503078927,-0.0101070072593637,-0.466314520078598,0.00279781319170776,0.408692559324431,0.832444952285807,3
80,1,16,2016,0,-0.006,1,9.00645488200563,0.394655503078927,-0.0101070072593637,-0.466314520078598,0.00279781319170776,0.409191530445457,0.833461198326009,3
80,1,17,2017,0,-0.006,1,9.0034076924892,0.396056734899787,-0.00870577543850348,-0.40973171729531,0.00245942198712237,0.409777443762673,0.834654525082742,3
80,1,18,2018,0,-0.006,1,9.0034076924892,0.396056734899787,-0.00870577543850348,-0.40973171729531,0.00245942198712237,0.410484780496229,0.836095162081684,3
80,1,19,2019,0,-0.006,1,9.0034076924892,0.396056734899787,-0.00870577543850348,-0.40973171729531,0.00245942198712237,0.41134249950358,0.837842090926195,3
80,1,20,2020,0,-0.006,1,9.0034076924892,0.396056734899787,-0.00870577543850348,-0.40973171729531,0.00245942198712237,0.412247588790265,0.83968550358978,3
80,1,21,2021,0,-0.006,1,8.99461124924645,0.399742780019678,-0.00501973031861297,-0.245845777720298,0.00148193174537571,0.413921547943925,0.843094890484529,3
80,1,22,2022,0,-0.006,1,8.99461124924645,0.399742780019678,-0.00501973031861297,-0.245845777720298,0.00148193174537571,0.414975797854674,0.845242107402767,3
80,1,23,2023,0,-0.006,1,8.99461124924645,0.399742780019678,-0.00501973031861297,-0.245845777720298,0.00148193174537571,0.416019830982094,0.847368518737523,3
80,1,24,2024,0,-0.006,1,8.99461124924645,0.399742780019678,-0.00501973031861297,-0.245845777720298,0.00148193174537571,0.416999952880756,0.849364764286277,3
80,1,25,2025,0,-0.006,1,8.98321434056846,0.404081526387324,-0.00068098395096744,-0.0340360453594906,0.000214046466613851,0.418317410387535,0.852048146151673,3
80,1,26,2026,0,-0.006,1,8.98321434056846,0.404081526387324,-0.00068098395096744,-0.0340360453594906,0.000214046466613851,0.419288154043378,0.854025302514857,3
80,1,27,2027,0,-0.006,1,8.98321434056846,0.404081526387324,-0.00068098395096744,-0.0340360453594906,0.000214046466613851,0.420095098891154,0.855668855730244,3
80,1,28,2028,0,-0.006,1,8.98321434056846,0.404081526387324,-0.00068098395096744,-0.0340360453594906,0.000214046466613851,0.420773954846924,0.857051538386661,3
80,1,29,2029,0,-0.006,1,8.97296145817064,0.407897594663084,0.00313508432479331,0.155482795768954,-0.000927943189424327,0.421841743208931,0.859226391284397,3
80,1,30,2030,0,-0.006,1,8.97296145817064,0.407897594663084,0.00313508432479331,0.155482795768954,-0.000927943189424327,0.422343812192822,0.860249039335739,3
80,1,31,2031,0,-0.006,1,8.97296145817064,0.407897594663084,0.00313508432479331,0.155482795768954,-0.000927943189424327,0.422726170242972,0.861027881309309,3
80,1,32,2032,0,-0.006,1,8.97296145817064,0.407897594663084,0.00313508432479331,0.155482795768954,-0.000927943189424327,0.423010746118787,0.861607578060538,3
80,1,33,2033,0,-0.006,1,8.96853840846416,0.409598604524028,0.00483609418573722,0.237199646801554,-0.00142099559072459,0.423309144923379,0.862215434528389,3
80,1,34,2034,0,-0.006,1,8.96853840846416,0.409598604524028,0.00483609418573722,0.237199646801554,-0.00142099559072459,0.423488905562396,0.862581664248968,3
80,1,35,2035,0,-0.006,1,8.96853840846416,0.409598604524028,0.00483609418573722,0.237199646801554,-0.00142099559072459,0.423582254823647,0.862771901004712,3
80,1,36,2036,0,-0.006,1,8.96853840846416,0.409598604524028,0.00483609418573722,0.237199646801554,-0.00142099559072459,0.423623489895348,0.862855996301046,3
80,1,37,2037,0,-0.006,1,8.96717613998542,0.410140951867974,0.00537844152968331,0.262621540827891,-0.00157290127339783,0.42369050348676,0.862992591714989,3
