row_id,run_tag,demographic_scenario,post_report_mode,horizon_t,tail_years,terminal_anchor,terminal_blend_weight,terminal_relaxation,shock_amplitude,pass_through,ttb_proxy_lag_years,source_mode,source_run_tag,source_outer,source_price_column,nore_tag,reference_price,seed_mode,switch_period,grid_points,grid_span_pct,max_discrete_iters,max_abs_log_move,vote_scale,notes
1,disc3_t40_flat,published_baby_boom,return_to_steady_state,40,40,terminal_fixed_point,1.00,0.12,0.25,0.006,4,re_source,bound40_baby_rss_l4,7,price_generated,none,NaN,flat,12,3,0.05,8,0.18,0.02,Three_price_T40_smoke_starting_from_steady_state
2,disc3_t80_flat,published_baby_boom,return_to_steady_state,80,0,terminal_fixed_point,1.00,0.12,0.25,0.006,4,re_source,bound40_baby_rss_l4,7,price_generated,none,NaN,flat,12,3,0.05,6,0.18,0.02,Three_price_T80_starting_from_steady_state
3,disc3_t80_source,published_baby_boom,return_to_steady_state,80,0,terminal_fixed_point,1.00,0.12,0.25,0.006,4,re_source,bound40_baby_rss_l4,7,price_generated,none,NaN,source_quantized,12,3,0.05,6,0.18,0.02,Three_price_T80_starting_from_quantized_bounded_path
4,disc3_t80_high12,published_baby_boom,return_to_steady_state,80,0,terminal_fixed_point,1.00,0.12,0.25,0.006,4,re_source,bound40_baby_rss_l4,7,price_generated,none,NaN,high_after,12,3,0.05,6,0.18,0.02,Three_price_T80_starting_from_steady_then_high_after_period_12
5,disc5_t40_source,published_baby_boom,return_to_steady_state,40,40,terminal_fixed_point,1.00,0.12,0.25,0.006,4,re_source,bound40_baby_rss_l4,7,price_generated,none,NaN,source_quantized,12,5,0.05,6,0.18,0.02,Five_price_T40_expansion_if_three_price_grid_is_too_coarse
