model_age,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
25,0.02171169975457732,0.02153870420383969,0.0214502261593765,0.02150325165990055,0.02166913602359075,0.02183318602407416,0.02195941896267288,0.02202666010670878,0.02203124240432813,0.02199807586635102,0.02212907391461353,0.02223574182093682,0.02233782183511895,0.02244194823514658,0.0225239658726168,0.02260144568285288,0.02268568456691612,0.02259363090467503,0.02225400787033223,0.02176917602625894,0.02133574018596188,0.02090034234617176,0.02054330016217118,0.02032037049485434,0.02018972123022104,0.02006496040458644,0.01993496225107994,0.01986419978019531,0.01986721752933863,0.01990741095033538,0.01996213719821745,0.02004567873547664,0.02001563149674586,0.01980953310978188,0.01950133034950394,0.01924129407308796,0.01899662679186431,0.01879719987842188,0.0186716172700998,0.01859991935790743,0.01853353360959958,0.01847265478905219,0.01846335112646718,0.01851919091086468,0.01861454238002168,0.01871423674483834,0.0188251922554009,0.01890663607253838,0.01893723368793336,0.01893373858637389,0.01894163896867631,0.01895623827584236,0.01894405947540513,0.01889579274593068,0.01882406299586433,0.01875706911114528,0.01869229059210352,0.01862328972292061,0.01855166581942452,0.01848006384819728,0.01841592014110385,0.01836103287314155,0.01830256977161218,0.01823657163624402,0.01816891068887313,0.01811457491027903,0.01807335642055643,0.01803454998404416,0.01799606613509819,0.01796205937390376,0.01794178164202567,0.01793483935187897,0.01793712890583141,0.01794636369599534,0.01795992401875543,0.01797817615515484,0.01800260791816372,0.01802693060820057,0.01804967230276186,0.01807235457393713,0.01810051581081011,0.01813626028515955,0.01816180387110488,0.01817113907896574,0.01817115557961995,0.01817739208210161,0.01819102126998015,0.0181970773384055,0.01818970814180218,0.01817181191111134,0.01815372443778692,0.01813944836361694,0.01811515113300942,0.01807743887139904,0.01803271672969074,0.01799170508315249,0.01795809496055883,0.0179243149191948,0.01788991373124831,0.01785818813336476
26,0.02178466758081923,0.02159647660916949,0.02140658849405191,0.02130412084457204,0.02135048273886727,0.02153257986175865,0.02166323862866119,0.02175977312343317,0.02180341720370028,0.02179176005363048,0.02191993989299824,0.02204043320589621,0.02213643523619747,0.02222894509223654,0.02232529816660084,0.02242016082686024,0.02249307480712499,0.02257625017362933,0.02249108893343147,0.02216477700475481,0.02171292242173925,0.02129334782842287,0.02086915945000024,0.02052199392754106,0.02030874509673249,0.02020702615985856,0.02009247239586033,0.01997028535673826,0.01990382865539703,0.01990792229742671,0.01995855408038492,0.02001334744313652,0.02009806112679863,0.02007386088829842,0.0198774106248724,0.01958594723007598,0.01933402561031541,0.01909584960293704,0.01890054610719857,0.01877649384886174,0.01870815192727598,0.01864198714119015,0.01858027306652019,0.01856774335511076,0.01861745324847467,0.01870589060404361,0.018798075849558,0.01890183218848458,0.01897805479008911,0.01900522640435791,0.01899883029993111,0.01900378017939535,0.01901591552834758,0.01900282220972156,0.01895479870999397,0.01888374436019502,0.01881770700831187,0.01875391667040587,0.01868722933861049,0.01861923932577941,0.01855171488180994,0.01849157086108889,0.01844048080649588,0.01838648391692035,0.01832537999759008,0.01826193608561546,0.01821174824275809,0.01817410778833522,0.01813945671334746,0.01810558685823056,0.01807477409027083,0.01805800761473855,0.01805439438994944,0.01805832710161415,0.01806643401872201,0.01807493363156194,0.01809002786605091,0.01811122519878767,0.01813354619122574,0.01815562942635535,0.01817559464836944,0.01820284861939112,0.01823733945387979,0.0182630927956001,0.01827414099087435,0.01827338225792517,0.01828116644778386,0.01829644159764273,0.01830336886395408,0.01829511355447908,0.01827119139774952,0.01825100823202638,0.01823482116997124,0.01820981400754987,0.01817252406343006,0.01812402652397824,0.0180835649579368,0.01805022242429608,0.01801783375011384,0.01798601869647158
27,0.02188976107634426,0.02167484048832861,0.02147117492447142,0.02126100262182626,0.02114213314678097,0.02123644406320999,0.0213834064688414,0.02148433309180622,0.02155272705368578,0.02157242496590704,0.02170383097081432,0.02182298341759712,0.02193428050351299,0.02202153763485453,0.02210706069173443,0.02221236658160844,0.02230369791360787,0.02237707421013049,0.02246555503096862,0.02239110372817142,0.02209410471865713,0.02165732454867441,0.02125005194298389,0.0208367220880284,0.02050065607583893,0.02031415493628332,0.02022354677530347,0.02011797710139697,0.02000071746386687,0.01993597208915483,0.0199473084019385,0.01999913936415053,0.02005656570393976,0.02014692416769711,0.02013175338795861,0.01994924344985878,0.01966699562703356,0.01942278923555683,0.01918922189894599,0.01899601992170845,0.01887280039429681,0.01880563045338772,0.01873981401486335,0.01867535448110524,0.01865724490411373,0.01869722216994839,0.01877925254798012,0.01886560549574983,0.01896445742306636,0.01903734991972834,0.01905864105008219,0.019050375832757,0.01905412780718299,0.01906562019227058,0.01905293033820706,0.01900279395744641,0.01893369361879027,0.018869821261158,0.01880871593432278,0.01874601475511393,0.01867952169659215,0.01861697086122207,0.01856179616714478,0.01851555698850847,0.0184667921623953,0.0184073596831286,0.01834902334291483,0.01830356430282634,0.01827046872300911,0.01824080726069303,0.01820758862219727,0.01818121451983407,0.01816889936897595,0.01816731628639048,0.01817047340603829,0.01817087844068452,0.01817712081624533,0.01819009196142637,0.01820966931935192,0.01823168263210901,0.01824838678200394,0.01826837187621338,0.01829550764428747,0.01833057293433133,0.01835835794407356,0.01836597874592086,0.01836769234080405,0.01837823785973536,0.01839475330725002,0.01840111882722679,0.01838418872897484,0.01835905733078947,0.01833804313359986,0.01832151370725168,0.01829725914784406,0.01825361819034999,0.01820656390312452,0.01816745457938008,0.01813589868553978,0.01810647555551934
28,0.02205094773373514,0.02178558175067988,0.02155478534028695,0.02133220865342494,0.02109957075576487,0.02104123636812678,0.02110954499328432,0.02122498447847503,0.02129771067673798,0.02133769402767197,0.02147537986448723,0.02159747767591698,0.02170889600010057,0.02181288007751413,0.0218939202766237,0.02198570354648893,0.02208709587324908,0.02217984420505022,0.02225998269077608,0.02235758830911879,0.02230813336491736,0.0220242957185076,0.02160100564525256,0.02120565227884937,0.02080441060917254,0.02049437590193223,0.02031888408069926,0.0202381520996061,0.02013865377959715,0.02002372274641831,0.01996426617102438,0.01997623821273032,0.02003182041015834,0.020096339582578,0.02019553391013392,0.02019195784323328,0.02001750182308704,0.01974405897680638,0.01950565538646681,0.01927466105747718,0.01908110132579176,0.0189582884701993,0.01889243727847811,0.0188250536450043,0.01875551817191421,0.01872614066882038,0.01875906027901475,0.0188363829075576,0.01891921572657384,0.01901503756792725,0.01908006518265607,0.01909854037712854,0.01909017412529451,0.01909456233024438,0.01910672202663926,0.01909018078494866,0.0190410850616629,0.01897514765476773,0.01891514654996694,0.01885841199551174,0.01879573989246845,0.01873342666477691,0.01867683070339098,0.01862768767736483,0.01858706183174159,0.01853851849743171,0.0184833918529407,0.01843074890092647,0.01839099791104193,0.01836329220214264,0.01833283784283193,0.01830327375052195,0.01828229628511958,0.01827313836959524,0.01827115954373558,0.01826508622163021,0.01826244413186713,0.01826748748690709,0.01827996691311246,0.01829962967349955,0.01831468972406573,0.01833066172599017,0.01835147347559285,0.01838032256487538,0.01841780341834259,0.01844054129055426,0.0184498796351193,0.01845529439110093,0.01846819370413565,0.01848451823344954,0.01848059801886792,0.01846170322364764,0.01843664539918296,0.01841638143319336,0.01840098488249288,0.01836883478251647,0.01832591386598014,0.0182811202016792,0.01824489280092296,0.01821670818495293
29,0.02227133814271143,0.02194784685434531,0.02167101629576684,0.02142090028820652,0.02117719613659795,0.02099679345641297,0.02092735044974273,0.02097307329849282,0.02105852913041017,0.02110278666243407,0.02123302004627513,0.02136029943684111,0.02147439430117444,0.02157991006026871,0.02167905960384544,0.02176527031480724,0.02185232454884584,0.02195472054722401,0.02205511023128018,0.02214575021580317,0.02226598739200106,0.02222621044649175,0.02195394981357059,0.02154373941670396,0.02116154939815433,0.02078716365296148,0.02048751853747056,0.02032180141978025,0.02024801716491232,0.02015194849268055,0.02004229367745754,0.01998217378188864,0.01999735745128586,0.02006115348338535,0.02013594975665494,0.02024632347502214,0.02024858382457618,0.02008175141166471,0.01981519189300418,0.01958052222365154,0.01934999543108435,0.01915526355909287,0.01903305892818564,0.01896659764696703,0.01889530696701684,0.0188150392066033,0.01877712397063982,0.01880476045694196,0.01887969967335536,0.0189608905070845,0.0190489364526015,0.01910931370181787,0.01912675887432044,0.01912013390914448,0.0191264744834016,0.0191350404037688,0.01911775138858905,0.01907092689576199,0.01900987226543125,0.01895542810189397,0.01889922720788911,0.01883911003069069,0.01878196675464979,0.01873239285589772,0.01869004800904913,0.01865014169307796,0.01860428576909347,0.01855405764849974,0.018508100022773,0.01847489974376059,0.01844690154186343,0.01841852421923584,0.01839358517919332,0.0183767076058843,0.01836827273614921,0.0183574452807912,0.01834675567815721,0.01834215565368763,0.01834765663105428,0.01836136977467628,0.01837438110912742,0.01838718717831871,0.01840325939697571,0.01842674820053407,0.01845916009346639,0.01849183337462952,0.0185147768942815,0.01852707825550938,0.01853578483247533,0.01854960760375885,0.01855588567935769,0.0185484849435049,0.01852892321196732,0.01850553630797879,0.01848751504276906,0.01846446999121888,0.01843157828715647,0.01839021828926836,0.01834922942754847,0.01831748460202035
30,0.02254233545366359,0.02216155677502839,0.02183423649517491,0.02154242384478065,0.02127077967305286,0.02106244751090879,0.02088110048685798,0.02080371762868424,0.02082821529924058,0.02088344638568113,0.02099135360919465,0.02111068678800686,0.02122888770546085,0.02133682018621727,0.0214388704648966,0.02154394988154647,0.02162489672335285,0.02171211648731116,0.02182167418442656,0.02193339599991335,0.02204803250349105,0.02217556578774138,0.02214391662132222,0.02188283255145946,0.0214869568507532,0.02113397490279526,0.02076943645845552,0.02047894790792547,0.02032006663110739,0.02025056418301291,0.02016172948729911,0.02005050870190642,0.01999236263186766,0.02001524604865372,0.0200904148742909,0.02017881286059818,0.02029356237692093,0.02030121831716382,0.02014003757517683,0.01987826565518253,0.01964716212092588,0.01941428592769259,0.0192186265587428,0.01909514133663205,0.01902572561784861,0.01894647627442473,0.01885660337905392,0.01881201827310983,0.01883674491976246,0.01891118281209567,0.01898725057683552,0.01906945240046735,0.01912695466738023,0.01914521817829899,0.01914166681506613,0.01914712140204839,0.01915371706891141,0.01913691774178102,0.01909409501198206,0.01903961602537043,0.01898847380232819,0.01893368998428828,0.01887714540136774,0.01882626133239206,0.0187844803225002,0.01874558981751939,0.01870724987624619,0.01866468638407884,0.01862036778592007,0.01858195116452378,0.01855116050463488,0.0185241334500808,0.01849880868375832,0.01847719846573718,0.01846198642722496,0.01844727775351309,0.01843073637972283,0.0184165395605473,0.0184116646419579,0.01841936120560666,0.01842890637880037,0.01843861247502418,0.0184500080887163,0.01846805092874356,0.01849607050834689,0.01852608118296601,0.01855790922852692,0.01858230329988974,0.01859716818871301,0.01860774074309549,0.01861388927047111,0.0186156326371795,0.01860606055451491,0.01858745291061859,0.01856724235320122,0.01854391275882167,0.01851910927271104,0.01848632559631881,0.018448087308463,0.01841251565929014
31,0.02282741587411528,0.02242055326219521,0.02204127340918189,0.02170645044123105,0.02139737044241708,0.02114476629934961,0.02093497099905375,0.02075572493377377,0.02067150507896679,0.02067435963121027,0.02076466934071411,0.02086262336097666,0.02097240131537033,0.0210833872232244,0.02118757071588415,0.02129727875398502,0.02139739694979739,0.02147793225723858,0.02157144569803933,0.02169181808691673,0.02182927022086386,0.02195158187476701,0.02208490248406891,0.02206101580523535,0.02181240461702053,0.02144896042808577,0.02110600899361592,0.02075007658143595,0.02046579516490936,0.0203111172937005,0.02025137709275415,0.02016115135300302,0.02005106147337951,0.0199994133787299,0.02003314728761265,0.02012500259044162,0.02021817044597688,0.02033684122806087,0.0203478722612062,0.02019019924257683,0.01993594093896003,0.01970261086430002,0.0194676674244953,0.01926923869258513,0.01914216455030312,0.01906828221387671,0.01897960175987435,0.01888206347774196,0.01883327307528804,0.01885702749964353,0.01892970560346913,0.0190003146916816,0.01907845509486174,0.01913494000358148,0.01915534719035957,0.01915438047470589,0.01915816713467929,0.01916404060691341,0.01914947936795035,0.01911236323937037,0.01906467331934286,0.01901518067751879,0.01896284978388347,0.01891098107886759,0.01886713642612147,0.01883224282009096,0.01879515963638908,0.01875899615782044,0.01872074545515601,0.01868320775697808,0.01865059638807053,0.0186210018071544,0.01859594371536288,0.01857238510554025,0.01855166851013813,0.0185334628522139,0.01851323212706013,0.01849210276194353,0.0184761136906838,0.01847272710675402,0.01847943947640385,0.01848591107395378,0.01849317127887339,0.01850504463383507,0.01852692474467227,0.01855563470579314,0.01858503872095233,0.01861728810659596,0.01864273965126842,0.01865874431092601,0.0186646880307496,0.01866652190029933,0.01866506005583106,0.01865495652817503,0.01863881221450607,0.01861631322970889,0.01859144607419647,0.01856574583053687,0.01853465592992319,0.01850116626557643
32,0.02310408744763278,0.0226945587211033,0.02228834462186785,0.02190680053792255,0.02156205027576636,0.02125892081323098,0.02100618927794623,0.02079803861707705,0.02062183222336474,0.02053010461124974,0.02054789271818121,0.02062895499818472,0.02071829463380046,0.0208203850426929,0.0209265816523169,0.02103946670167639,0.02114453788248718,0.0212444931868531,0.02133069613276506,0.02143412413029685,0.02158145097737988,0.02172651281721946,0.02185499002203909,0.02199375837117427,0.0219789762158449,0.02176390583691678,0.02141066344700335,0.02107646827476493,0.0207261799942725,0.02044549231652264,0.02030306890080463,0.02024184734509558,0.02015293938474514,0.02004854065320438,0.0200065774225507,0.02005941010965535,0.02015612033353541,0.02025360484079588,0.02037416567486312,0.02038638418169673,0.02023881375036896,0.01998228187155493,0.01974701373541081,0.01950816516977948,0.01930471600116133,0.01917609141570706,0.01909271686394614,0.01899657060491535,0.01889391434924052,0.01884291724757997,0.01886766608559156,0.01893501933215767,0.01900196527283763,0.01907789227603048,0.01913469321950431,0.01916010072064021,0.01915755720681931,0.01916091949925636,0.01916782274942908,0.01915722620165239,0.01912943045854968,0.01908340874269526,0.01903660528095015,0.01898784842650421,0.01894144958307726,0.01890710661675186,0.01887402667168037,0.0188393637437951,0.0188064184859163,0.01877336243387465,0.01874420357819499,0.01871280416709526,0.01868541110625172,0.01866103308862735,0.01863679479874137,0.01861557691148464,0.01859182698427432,0.01856722420805734,0.01854325115256989,0.01852725704850903,0.01852530739208706,0.01852896463317316,0.01853323287679991,0.01853995038332925,0.01855420222852183,0.01857909096602007,0.01860723523422196,0.01863731290196432,0.01866958213331187,0.01869467478889158,0.01870833087027193,0.01870998034723719,0.01870883665920807,0.01870581884959501,0.01869671293758893,0.01868053554957155,0.01865651092209342,0.01863097408190615,0.01860597210805703,0.01857821538054898
33,0.02347535285210911,0.02296065046117676,0.02255133443409843,0.02214199991284355,0.02175566420233858,0.02141087515876921,0.02110808322359984,0.02085835620153725,0.02065281409852674,0.02047880586566233,0.0203958522125607,0.02040484101642035,0.02047800431900027,0.02056059244419742,0.02065741768906456,0.02077277293738481,0.02088051727241787,0.02098569020966582,0.02109147785008882,0.02118693861527782,0.0213182081994176,0.0214725523577449,0.0216237187715418,0.02175803029018775,0.02190359861439771,0.021921501119403,0.02171519370552008,0.02137086744671655,0.02104242369467159,0.02069515207075708,0.02042878278587646,0.02028471438108414,0.02022472750238143,0.0201417139597287,0.02004622454271325,0.02002504176864157,0.02008224161203814,0.02018337134769354,0.02028315099165748,0.02040339034879522,0.02042680698012551,0.02027593685152151,0.02001744420037837,0.01977839586063664,0.01953341630846347,0.01933049502040945,0.01919183761542576,0.01910095422231649,0.018999900894998,0.01889419687415834,0.01884613915007826,0.01886519344141458,0.01892901604197804,0.01899415621807905,0.01906921014651282,0.01913223667759254,0.01915535424369346,0.01915249130969334,0.01915719640346505,0.01916685923146111,0.01916699861090324,0.01914019454053097,0.01909689569605781,0.01905389865414427,0.01900952505940346,0.01897423569630734,0.01894108835963959,0.01891044948331767,0.01887924773411136,0.01885041003752212,0.0188273137055148,0.01879873677139567,0.01876955439011792,0.01874307297793603,0.01871692975601521,0.01869372007042197,0.01866631705868638,0.01863820083721692,0.01861098305673818,0.01858597217573824,0.01857291901511096,0.01856732268983536,0.01856880974001467,0.01857279099641295,0.0185808797899816,0.01859955926422649,0.01862331000743411,0.0186521633023045,0.01868251845110252,0.01871340687132124,0.01873749632647686,0.01874625204219311,0.01874495123297999,0.01874249625132466,0.01873945931442021,0.01873167506226241,0.01871337856528102,0.01868870964849554,0.01866410378267032,0.01864146233940099
34,0.02397912596040811,0.02331846118651685,0.02280688251086527,0.02239398657525773,0.02197904000691524,0.02159308457864695,0.02124746188818456,0.0209481897714881,0.02070245020220097,0.0204987057937756,0.02033665287238835,0.02024531688534533,0.02024691654790967,0.02031402510954745,0.02039225785833184,0.02049898156046056,0.02060840970012604,0.02071571458341203,0.02082689476364153,0.02094205472795456,0.02106609823291094,0.02120383942647811,0.02136372209661987,0.0215206781783298,0.0216621421367408,0.02183936489725192,0.02186389045001103,0.02166506357562411,0.02132659806917358,0.02100123919504475,0.02066991834392282,0.02040176085661232,0.0202588235125499,0.02020466204164416,0.02013076852591763,0.02005750479205533,0.0200401061884286,0.02010124511920396,0.02020478431050149,0.02030466904063612,0.02043680644001086,0.02045564209311276,0.02030175640563273,0.02003946198323217,0.01979437105150551,0.01955163426645141,0.01933797905772055,0.01919135458587444,0.0190955464815572,0.01899168551334252,0.01889052534719966,0.01883630618449094,0.01885150646443419,0.01891365670902129,0.01897832701501993,0.01906052815796096,0.01912034759467725,0.01914243263111102,0.01914101411032284,0.01914879432741241,0.01917022777244694,0.01917049054383091,0.01914573607793602,0.01910628061647369,0.01906791396844015,0.0190358873174288,0.01900102948543082,0.01896972902484261,0.01894257498681371,0.01891573250092399,0.01889808572290581,0.01887477309906988,0.01884780216171177,0.01881954632940334,0.01879152992426277,0.01876762657526936,0.01873742559225206,0.01870503649077256,0.01867432759335264,0.01864631083328866,0.01862544819874917,0.01860800177540388,0.01859966943961586,0.01860091184101525,0.01860652457365642,0.01862016786014199,0.01863696561435267,0.01866086414770616,0.0186900470257794,0.01871927783982364,0.01875022047158587,0.01876864587125286,0.01877386087622349,0.01877128857249896,0.01876905525633631,0.01876841715607308,0.01875774974453501,0.01873821846222666,0.01871452230076275,0.01869252071683141
