row_id,run_tag,family,route,demographic_scenario,post_report_mode,horizon_t,tail_years,terminal_anchor,terminal_blend_weight,terminal_relaxation,terminal_iter,shock_amplitude,pass_through,ttb_proxy_lag_years,vote_shift_mode,vote_shift_horizon,vote_block_length,source_mode,source_run_tag,source_outer,nore_tag,hybrid_switch_period,seed_blend_weight,outer_iter,path_update_method,basis_dim,basis_damping,broyden_damping,broyden_step_cap,basis_step_cap,basis_tail_weight,basis_end_weight,basis_focus_start,basis_focus_end,basis_focus_weight,path_relaxation,vote_scale,max_abs_log_price_move,notes
1,sg80_bl70_trust12,re,full_t80_safeguarded_polish,published_baby_boom,hold_report_end,80,40,terminal_fixed_point,1.00,0.08,260,0.25,0.006,4,block_vote,4,4,re_source,w80_b60hold_bl70,4,none,,,28,trust_region_relaxation,5,0.20,0.00,0.0000,0.00012,0.25,10,1,12,4,0.25,0.02,0.18,best_survivor_generated_seed_direct_trust_region_small_cap
2,sg80_bl70_trust20,re,full_t80_safeguarded_polish,published_baby_boom,hold_report_end,80,40,terminal_fixed_point,1.00,0.08,260,0.25,0.006,4,block_vote,4,4,re_source,w80_b60hold_bl70,4,none,,,26,trust_region_relaxation,5,0.20,0.00,0.0000,0.00020,0.15,10,1,12,3,0.35,0.02,0.18,best_survivor_generated_seed_direct_trust_region_larger_cap
3,sg80_bl70_basis9,re,full_t80_safeguarded_polish,published_baby_boom,hold_report_end,80,40,terminal_fixed_point,1.00,0.08,260,0.25,0.006,4,block_vote,4,4,re_source,w80_b60hold_bl70,4,none,,,26,basis_broyden,9,0.18,0.22,0.0010,0.00016,0.10,12,1,12,12,0.006,0.02,0.18,best_survivor_generated_seed_high_basis_early_residual_focus
4,sg80_bl70_tailtrust,re,full_t80_safeguarded_polish,published_baby_boom,hold_report_end,80,40,terminal_fixed_point,1.00,0.08,260,0.25,0.006,4,block_vote,4,4,re_source,w80_b60hold_bl70,4,none,,,26,trust_region_relaxation,5,0.18,0.00,0.0000,0.00012,0.80,10,85,96,5,0.15,0.02,0.18,best_survivor_generated_seed_hidden_tail_trust_region
5,sg80_flat_trust12,re,full_t80_safeguarded_polish,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.08,260,0.25,0.006,4,block_vote,4,4,re_source,w80_flat_rss_b6,17,none,,,26,trust_region_relaxation,5,0.20,0.00,0.0000,0.00012,0.20,10,1,8,4,0.25,0.02,0.18,flat_restart_survivor_generated_seed_direct_trust_region
