iteration,guess_source,political_target,price_update_mode,political_update_rule,max_abs_vote,mean_vote,max_abs_gap,residual_norm,price_min,price_max,housing_anchor_min,housing_anchor_max,max_abs_political_step
1,flat_original_ss_root_0.340136059028,equal_weight_vote,political_only,fixed_step,0.025251616387443,0.0207345930185851,0.00930727724494884,0.0277447452098951,0.340246400526073,0.340307882117876,0.340136059027778,0.340136059027778,0.000171823090097611
2,flat_original_ss_root_0.340136059028,equal_weight_vote,political_only,fixed_step,0.0230712997659694,0.0183981878306258,0.00924910234050125,0.027559849803813,0.34033981149962,0.340464945254817,0.340246400526073,0.340307882117876,0.000157063136941693
3,flat_original_ss_root_0.340136059028,equal_weight_vote,political_only,fixed_step,0.0299079790210112,0.0240532933398116,0.00918974731389338,0.0273729253263992,0.340463708259739,0.340668658544073,0.34033981149962,0.340464945254817,0.000203713289255225
