iteration,guess_source,political_target,price_update_mode,political_update_rule,max_abs_vote,mean_vote,max_abs_gap,residual_norm,price_min,price_max,housing_anchor_min,housing_anchor_max,max_abs_political_step
1,flat_original_ss_root_0.340136059028,equal_weight_vote,political_only,fixed_step,0.025251616387443,0.0175398711462754,0.0117153009974454,0.0350501259996094,0.34015277393853,0.340179006665374,0.340136059027778,0.340136059027778,4.29476375966575e-05
2,flat_original_ss_root_0.340136059028,equal_weight_vote,political_only,fixed_step,0.0230712997659694,0.0151677041304696,0.0117108921860433,0.0350349496140321,0.340165128696168,0.340218250788047,0.34015277393853,0.340179006665374,3.92441226731433e-05
3,flat_original_ss_root_0.340136059028,equal_weight_vote,political_only,fixed_step,0.0230712997659694,0.0151680894988706,0.0116853568527412,0.0349559136576771,0.340177485213482,0.340257499438046,0.340165128696168,0.340218250788047,3.92486499988798e-05
4,flat_original_ss_root_0.340136059028,equal_weight_vote,political_only,fixed_step,0.0230712997659694,0.0151680894988706,0.0116454851088964,0.0348332507616773,0.340189842179648,0.340296752615893,0.340177485213482,0.340257499438046,3.92531778468652e-05
5,flat_original_ss_root_0.340136059028,equal_weight_vote,political_only,fixed_step,0.0230712997659694,0.0151680894988706,0.0116199519084308,0.0347542500698153,0.340202199594681,0.34033601032211,0.340189842179648,0.340296752615893,3.92577062172106e-05
