Notes,State,State Code,Year,Year Code,Age of Mother 10,Age of Mother 10 Code,Births,pull_year
,Pennsylvania,42,2012,2012,15 - 17 years,15-17,2651,2012
,Pennsylvania,42,2012,2012,18 - 19 years,18-19,5744,2012
,Pennsylvania,42,2012,2012,20-24 years,20-24,16243,2012
,Pennsylvania,42,2012,2012,25-29 years,25-29,16730,2012
,Pennsylvania,42,2012,2012,30-34 years,30-34,12136,2012
,Pennsylvania,42,2012,2012,35-39 years,35-39,3777,2012
,Pennsylvania,42,2012,2012,40-44 years,40-44,797,2012
,Pennsylvania,42,2012,2012,45-49 years,45-49,70,2012
,Rhode Island,44,2012,2012,15 - 17 years,15-17,193,2012
,Rhode Island,44,2012,2012,18 - 19 years,18-19,435,2012
,Rhode Island,44,2012,2012,20-24 years,20-24,1282,2012
,Rhode Island,44,2012,2012,25-29 years,25-29,1238,2012
,Rhode Island,44,2012,2012,30-34 years,30-34,1085,2012
,Rhode Island,44,2012,2012,35-39 years,35-39,380,2012
,Rhode Island,44,2012,2012,40-44 years,40-44,81,2012
,South Carolina,45,2012,2012,Under 15 years,15-,63,2012
,South Carolina,45,2012,2012,15 - 17 years,15-17,1380,2012
,South Carolina,45,2012,2012,18 - 19 years,18-19,3161,2012
,South Carolina,45,2012,2012,20-24 years,20-24,7796,2012
,South Carolina,45,2012,2012,25-29 years,25-29,5777,2012
,South Carolina,45,2012,2012,30-34 years,30-34,3514,2012
,South Carolina,45,2012,2012,35-39 years,35-39,1121,2012
,South Carolina,45,2012,2012,40-44 years,40-44,230,2012
,South Dakota,46,2012,2012,15 - 17 years,15-17,253,2012
,South Dakota,46,2012,2012,18 - 19 years,18-19,516,2012
,South Dakota,46,2012,2012,20-24 years,20-24,1420,2012
,South Dakota,46,2012,2012,25-29 years,25-29,1425,2012
,South Dakota,46,2012,2012,30-34 years,30-34,594,2012
,South Dakota,46,2012,2012,35-39 years,35-39,125,2012
,South Dakota,46,2012,2012,40-44 years,40-44,20,2012
,Tennessee,47,2012,2012,Under 15 years,15-,91,2012
