Notes,State,State Code,Year,Year Code,Age of Mother 10,Age of Mother 10 Code,Births,pull_year
,Texas,48,2013,2013,25-29 years,25-29,36878,2013
,Texas,48,2013,2013,30-34 years,30-34,23795,2013
,Texas,48,2013,2013,35-39 years,35-39,8129,2013
,Texas,48,2013,2013,40-44 years,40-44,1795,2013
,Texas,48,2013,2013,45-49 years,45-49,133,2013
,Texas,48,2013,2013,50 years and over,50+,13,2013
,Utah,49,2013,2013,Under 15 years,15-,15,2013
,Utah,49,2013,2013,15 - 17 years,15-17,538,2013
,Utah,49,2013,2013,18 - 19 years,18-19,1366,2013
,Utah,49,2013,2013,20-24 years,20-24,6496,2013
,Utah,49,2013,2013,25-29 years,25-29,5174,2013
,Utah,49,2013,2013,30-34 years,30-34,2135,2013
,Utah,49,2013,2013,35-39 years,35-39,644,2013
,Utah,49,2013,2013,40-44 years,40-44,101,2013
,Utah,49,2013,2013,45-49 years,45-49,13,2013
,Vermont,50,2013,2013,15 - 17 years,15-17,54,2013
,Vermont,50,2013,2013,18 - 19 years,18-19,224,2013
,Vermont,50,2013,2013,20-24 years,20-24,681,2013
,Vermont,50,2013,2013,25-29 years,25-29,728,2013
,Vermont,50,2013,2013,30-34 years,30-34,680,2013
,Vermont,50,2013,2013,35-39 years,35-39,249,2013
,Vermont,50,2013,2013,40-44 years,40-44,44,2013
,Virginia,51,2013,2013,Under 15 years,15-,35,2013
,Virginia,51,2013,2013,15 - 17 years,15-17,1139,2013
,Virginia,51,2013,2013,18 - 19 years,18-19,3391,2013
,Virginia,51,2013,2013,20-24 years,20-24,11512,2013
,Virginia,51,2013,2013,25-29 years,25-29,12268,2013
,Virginia,51,2013,2013,30-34 years,30-34,9999,2013
,Virginia,51,2013,2013,35-39 years,35-39,3435,2013
,Virginia,51,2013,2013,40-44 years,40-44,785,2013
,Virginia,51,2013,2013,45-49 years,45-49,70,2013
,Washington,53,2013,2013,Under 15 years,15-,34,2013
,Washington,53,2013,2013,15 - 17 years,15-17,1060,2013
,Washington,53,2013,2013,18 - 19 years,18-19,2614,2013
,Washington,53,2013,2013,20-24 years,20-24,9437,2013
,Washington,53,2013,2013,25-29 years,25-29,9984,2013
,Washington,53,2013,2013,30-34 years,30-34,8048,2013
,Washington,53,2013,2013,35-39 years,35-39,2968,2013
,Washington,53,2013,2013,40-44 years,40-44,652,2013
,Washington,53,2013,2013,45-49 years,45-49,53,2013
,West Virginia,54,2013,2013,Under 15 years,15-,20,2013
,West Virginia,54,2013,2013,15 - 17 years,15-17,511,2013
,West Virginia,54,2013,2013,18 - 19 years,18-19,1327,2013
,West Virginia,54,2013,2013,20-24 years,20-24,3222,2013
