year,us_tea_raw_n,us_tea_weight_sum,overlap_var,share,overlap_label,share_pct
2019,475,488.08345111168006,jobs_only_share,0.1135750546892055,Jobs scarce only,11.35750546892055
2020,287,286.318971299398,jobs_only_share,0.1758975368004904,Jobs scarce only,17.58975368004904
2021,276,292.41909456628605,jobs_only_share,0.0764192410767745,Jobs scarce only,7.6419241076774505
2019,475,488.08345111168006,jobs_and_income_share,0.2953206152705968,Both motives,29.53206152705968
2020,287,286.318971299398,jobs_and_income_share,0.3203779725142885,Both motives,32.03779725142885
2021,276,292.41909456628605,jobs_and_income_share,0.3807498492765422,Both motives,38.07498492765422
2019,475,488.08345111168006,income_only_share,0.3879854010011728,High income only,38.79854010011728
2020,287,286.318971299398,income_only_share,0.3264035934226723,High income only,32.640359342267224
2021,276,292.41909456628605,income_only_share,0.3527826276506828,High income only,35.27826276506828
2019,475,488.08345111168006,neither_jobs_nor_income_share,0.2031189290390246,Neither,20.31189290390246
2020,287,286.318971299398,neither_jobs_nor_income_share,0.1773208972625473,Neither,17.732089726254728
2021,276,292.41909456628605,neither_jobs_nor_income_share,0.1900482819960002,Neither,19.00482819960002
